freq	GDPC1	JAPAN_IP	PCECTPI	CPIAUCSL	UNRATE
01-01-55	2683.766	999999	15.755	26.79333333	4.7
01-04-55	2727.452	999999	15.771	26.75666667	4.4
01-07-55	2764.128	999999	15.834	26.77666667	4.1
01-10-55	2780.762	999999	15.878	26.85666667	4.2
01-01-56	2770.032	999999	15.943	26.86	4.0
01-04-56	2792.872	999999	16.051	27.03666667	4.2
01-07-56	2790.588	999999	16.208	27.31666667	4.1
01-10-56	2836.238	999999	16.303	27.55	4.1
01-01-57	2854.517	999999	16.45	27.77666667	3.9
01-04-57	2848.186	999999	16.554	28.01333333	4.1
01-07-57	2875.927	999999	16.687	28.26333333	4.2
01-10-57	2846.446	999999	16.773	28.4	4.9
01-01-58	2772.654	999999	16.979	28.73666667	6.3
01-04-58	2790.948	999999	17.009	28.93	7.4
01-07-58	2855.472	999999	17.023	28.91333333	7.3
01-10-58	2922.264	999999	17.018	28.94333333	6.4
01-01-59	2976.629	999999	17.137	28.99333333	5.8
01-04-59	3049.011	999999	17.204	29.04333333	5.1
01-07-59	3043.139	999999	17.307	29.19333333	5.3
01-10-59	3055.104	999999	17.401	29.37	5.6
01-01-60	3123.162	12.18443467	17.424	29.39666667	5.1
01-04-60	3111.31	12.67618315	17.516	29.57333333	5.2
01-07-60	3119.057	13.22257036	17.583	29.59	5.5
01-10-60	3081.3	13.85091565	17.661	29.78	6.3
01-01-61	3102.251	14.61585773	17.694	29.84	6.8
01-04-61	3159.918	15.1895643	17.692	29.83	7.0
01-07-61	3212.606	15.8725483	17.757	29.94666667	6.8
01-10-61	3277.717	16.41893551	17.777	29.99	6.2
01-01-62	3336.753	16.96532271	17.856	30.10666667	5.6
01-04-62	3372.706	16.96532271	17.918	30.22	5.5
01-07-62	3404.833	16.69212911	17.965	30.30666667	5.6
01-10-62	3418.046	16.58285167	18.018	30.38	5.5
01-01-63	3456.08	17.23851632	18.069	30.47666667	5.8
01-04-63	3501.134	18.22201329	18.095	30.53333333	5.7
01-07-63	3569.479	19.17819089	18.181	30.72	5.5
01-10-63	3594.954	20.16168786	18.249	30.80333333	5.6
01-01-64	3672.708	20.81735251	18.336	30.93	5.5
01-04-64	3716.382	21.44569779	18.378	30.98	5.2
01-07-64	3766.862	22.01940436	18.44	31.05	5.0
01-10-64	3780.219	22.4018754	18.503	31.19333333	5.0
01-01-65	3873.452	22.4018754	18.562	31.29	4.9
01-04-65	3926.406	22.21063988	18.655	31.49	4.7
01-07-65	4006.152	22.45651412	18.725	31.58333333	4.4
01-10-65	4100.631	22.81166581	18.782	31.75	4.1
01-01-66	4201.891	23.54928853	18.928	32.04666667	3.9
01-04-66	4219.097	24.8059791	19.083	32.33666667	3.8
01-07-66	4249.152	25.9807116	19.23	32.61666667	3.8
01-10-66	4285.582	27.45595705	19.379	32.88333333	3.7
