,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074
1,-0.980728947,-0.988739584,-0.992823278,-0.994567703,-0.995907035,-0.996371127,-0.996767015,-0.997184949,-0.997522975,-0.997861017,-0.997621961,-0.997429349,-0.997660213,-0.997690636,-0.997845854,-0.998030084,-0.997960881,-0.997889776,-0.99762573,-0.997178831,-0.997197143,-0.997285608,-0.997571492,-0.997831553,-0.9980467,-0.997943005,-0.9977836,-0.997929379,-0.997962994,-0.99800564,-0.997648839,-0.99777701,-0.99776182,-0.997784305,-0.997524226,-0.997614789,-0.997661096,-0.997693678,-0.997489935,-0.997519493,-0.997655758,-0.997750575,-0.99734941,-0.997254508,-0.996907886,-0.996958909,-0.996829991,-0.996651366,-0.99719004,-0.996927211
2,0.122606998,0.13192625,0.268603772,0.227507025,0.271467172,0.146782989,-0.013277077,0.024080311,0.041954812,0.166022019,0.111378445,0.12485499,0.154236923,0.299744253,0.395476528,0.400823889,0.253199753,0.201710834,0.091925368,-0.158641615,-0.07122673,-0.191675395,-0.132283464,-0.028861484,0.287625273,-0.079641595,-0.260573081,-0.21186699,-0.235159031,-0.191322651,-0.313053972,-0.343322871,-0.320178836,-0.36994149,-0.533581264,-0.466255524,-0.453433803,-0.44715072,-0.452510589,-0.429614317,-0.43794869,-0.418876891,-0.476140724,-0.449927506,-0.527261902,-0.534806804,-0.537979747,-0.565194934,-0.446935802,-0.44626117
3,-0.118406494,-0.305874874,-0.236638039,-0.158846272,-0.077056961,0.060148552,0.362227536,0.388265977,0.682538482,0.836284153,0.729855319,0.501111793,0.642509388,0.391830794,0.446429395,0.522186609,0.741836224,0.61821626,0.510437385,0.810410729,0.406998224,0.632611719,0.496870302,0.490740907,0.356223995,0.806523037,1.554037143,1.181387147,1.1868947,1.202200911,1.367017817,1.386819388,0.985178592,1.118423585,1.723891151,1.872359292,2.591971847,3.033161565,2.83669399,2.89099959,2.684367597,2.702274167,2.390227367,2.372403228,2.497682081,1.729036041,1.70647022,2.407719173,2.004110925,1.882359954
4,0.033293294,0.174049209,0.108559009,0.014708729,0.052420146,-0.137422674,-0.250140385,-0.218000924,-0.233669811,-0.318420374,-0.318586357,-0.397952882,-0.426974742,-0.433850043,-0.559496961,-0.514482217,-0.536959356,-0.438444739,-0.418451372,-0.486041986,-0.412005589,-0.252832431,-0.290354636,-0.417091241,-0.314370317,-0.302479972,-0.348868798,-0.186931498,-0.088416543,-0.12699427,-0.236167136,-0.110788133,0.14251271,0.257766832,0.097799258,-0.183527482,-0.294228659,-0.306008114,-0.327352054,-0.353297207,-0.248681728,-0.225978363,-0.134231305,0.035548591,0.046195255,0.348121628,0.003984725,-0.155141094,-0.10166808,-0.051070382
5,0.02327462,0.01614449,-0.063506122,0.076429596,0.036268134,0.042677165,0.091934252,0.074128652,-0.074881273,-0.079906787,-0.080283905,-0.031159022,0.094561457,0.272556729,0.451696695,0.62837844,0.523523042,0.344382877,0.725158119,0.760293572,0.702546361,0.45625149,0.625563488,0.704314588,0.342389235,0.412844007,0.235218813,0.179544448,0.108778122,0.071638509,0.231579794,0.392858242,0.313856123,0.280623155,0.235318588,0.242368425,0.191879207,0.203044843,0.261193653,0.208066824,0.150352741,0.183914282,0.144245562,-0.150977588,-0.032042012,-0.083682953,0.26096446,0.134935669,0.142254885,0.118572095
6,-0.036971914,-0.106880113,-0.069362894,-0.102363922,-0.192335241,-0.129170333,-0.002258408,0.095956284,0.272731652,0.519690155,0.21928371,0.099418494,0.132923914,-0.113835523,-0.04797606,-0.102005749,0.05032202,0.081310469,-0.23717434,-0.132169459,-0.131095284,-0.213732593,-0.20274932,-0.014810969,0.001491081,0.019566313,-0.088438966,-0.12207428,-0.094175991,-0.06982976,-0.275837063,-0.501635185,-0.496489964,-0.511260318,-0.40859573,-0.392957113,-0.418286521,-0.493192154,-0.490384553,-0.383043801,-0.324072431,-0.37899431,-0.444720454,-0.469432052,-0.555461724,-0.581093123,-0.650623734,-0.578298859,-0.595632571,-0.61216978
7,0.0978077,0.239936813,0.25681237,0.216923008,0.354599763,0.377567783,0.320882653,0.183662628,0.1502862,-0.004314699,0.166186218,0.477651247,0.316679487,0.351995111,0.252741937,0.20168655,-0.104182751,-0.172475725,-0.127391935,-0.229706915,-0.158786364,-0.185021267,-0.16846686,-0.249614337,-0.336232374,-0.397159851,-0.349396761,-0.419563063,-0.409288316,-0.486816592,-0.397666035,-0.233994862,-0.288547891,-0.212740722,-0.226202709,-0.02984399,-0.061309577,-0.075213821,-0.157876994,-0.107745442,-0.148254401,-0.095380623,0.065571428,0.140866915,0.232426946,0.443059993,0.507705891,0.400070894,0.541902251,0.452955667
8,-0.004675346,-0.026338186,-0.077841453,-0.214754011,-0.164064789,-0.096184392,-0.136091543,-0.209716068,-0.383587922,-0.482609177,-0.463364264,-0.496768389,-0.483177816,-0.420165423,-0.406666841,-0.525351297,-0.437370119,-0.389226939,-0.305878671,-0.152211153,-0.275413401,-0.123822436,-0.219521448,-0.192336684,-0.08091466,-0.133472146,0.020886743,0.026148497,-0.006169862,0.083952022,0.013056382,0.01288443,0.02162015,-0.020186272,0.057008526,-0.118473937,-0.098779274,0.092313663,0.226268982,-0.066515733,-0.142002636,-0.211657612,-0.148802506,-0.112848339,-0.192910417,-0.122209658,-0.01105909,-0.033577381,-0.215336467,-0.192836251
9,-0.063917437,-0.1830612,-0.185540425,0.034083859,-0.061895703,-0.046021665,-0.085577641,-0.013538088,0.231661706,0.567229546,0.624949013,0.499280022,0.329142584,0.524990567,0.61249887,0.863622245,0.610803072,0.709072405,0.670070048,0.594020601,0.968104564,0.354954433,0.561024642,0.440257589,0.61856072,0.635767529,0.723497902,0.869043948,0.826466077,1.551583105,2.405373405,2.398227995,2.742059531,2.337467097,1.938664377,2.612454731,2.793405891,2.393753132,1.96006536,2.536608621,2.811882376,3.582427504,3.216233817,3.338633936,3.540076787,3.009424962,2.756351555,3.482760882,5.305441614,5.534581486
10,-0.047240136,0.142409421,0.225465252,0.085514905,0.041214632,0.057346239,0.064646182,0.192618452,0.142745872,0.195484904,0.134160118,0.28840866,0.399570939,0.049195794,0.124928045,-0.015869843,0.304720164,0.144635261,0.164326652,0.024147432,-0.101832506,0.277346788,0.295545163,0.445692022,0.380639235,0.336865335,0.079101572,0.326226207,0.453905693,0.229728249,0.011511567,0.017226675,0.168148228,0.565903171,0.615910593,0.442032585,0.346450168,0.45414752,0.75102814,0.396428192,0.418081843,0.222831205,0.20219621,0.351656259,0.299482795,0.653569987,1.079566597,0.671460384,0.535568084,0.404062377
