Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2025,Emerging Markets - Equities,0.025385760222753094,2.54,0.0
2025,Developed Markets - Equities,0.34108810045754967,34.11,0.0
2025,Emerging Markets State - Obligations,0.04198866363431373,4.2,0.0
2025,High Yield Bonds - Obligations,0.0044657567704252275,0.45,0.0
2025,Investment Grade Bonds - Obligations,0.25099785195283325,25.1,0.0
2025,Government ZC Bonds - Obligations,0.33607386696212516,33.61,0.0
2026,Emerging Markets - Equities,0.9639583458047943,96.4,50747.779906562566
2026,Developed Markets - Equities,0.012219510681658122,1.22,643.2985837380282
2026,Emerging Markets State - Obligations,0.002120039769119971,0.21,111.6099176532747
2026,High Yield Bonds - Obligations,0.003338070285392758,0.33,175.73337778855884
2026,Investment Grade Bonds - Obligations,0.015052661692939884,1.51,792.4503853571589
2026,Government ZC Bonds - Obligations,0.0033113717660948373,0.33,174.32782890041594
2027,Emerging Markets - Equities,0.9372708417451199,93.73,77580.25214160461
2027,Developed Markets - Equities,0.012258128734878315,1.23,1014.6359789294704
2027,Emerging Markets State - Obligations,0.018873357046515472,1.89,1562.1949741880192
2027,High Yield Bonds - Obligations,0.016596189595106944,1.66,1373.7081279312886
2027,Investment Grade Bonds - Obligations,0.006618119031765666,0.66,547.7982673946827
2027,Government ZC Bonds - Obligations,0.008383363846613796,0.84,693.9119964557427
2028,Emerging Markets - Equities,0.9466049682323423,94.66,111092.50322697422
2028,Developed Markets - Equities,0.01645725272944487,1.65,1931.4048238802795
2028,Emerging Markets State - Obligations,0.002428843937443406,0.24,285.0464153617457
2028,High Yield Bonds - Obligations,0.015519546547120781,1.55,1821.356672241777
2028,Investment Grade Bonds - Obligations,0.008169421518933852,0.82,958.7541972755762
2028,Government ZC Bonds - Obligations,0.010819967034714897,1.08,1269.819262584714
2029,Emerging Markets - Equities,0.9611843092154728,96.12,163538.215953442
2029,Developed Markets - Equities,0.004078501427237904,0.41,693.9260668107011
2029,Emerging Markets State - Obligations,0.0010592781644936046,0.11,180.2281410119092
2029,High Yield Bonds - Obligations,0.011362246684810128,1.14,1933.2000473180915
2029,Investment Grade Bonds - Obligations,0.009914528781164054,0.99,1686.8818324906156
2029,Government ZC Bonds - Obligations,0.012401135726821418,1.24,2109.9591338691184
2030,Emerging Markets - Equities,0.9905840641987035,99.06,285933.7434746457
2030,Developed Markets - Equities,0.00031331395151750223,0.03,90.43859504513753
2030,Emerging Markets State - Obligations,0.0016497655775796387,0.16,476.2075875251846
2030,High Yield Bonds - Obligations,0.002866956678298232,0.29,827.5518303119114
2030,Investment Grade Bonds - Obligations,0.003825533348178733,0.38,1104.246585994364
2030,Government ZC Bonds - Obligations,0.0007603662457224238,0.08,219.4809859242429
2031,Emerging Markets - Equities,0.9917287673207668,99.17,455948.954583455
2031,Developed Markets - Equities,0.00140002925223011,0.14,643.66578340276
2031,Emerging Markets State - Obligations,0.002825946770386074,0.28,1299.2337402362257
2031,High Yield Bonds - Obligations,0.0012346096124147166,0.12,567.6138281437014
2031,Investment Grade Bonds - Obligations,0.000745935057128954,0.07,342.94488643696974
2031,Government ZC Bonds - Obligations,0.002064711987073534,0.21,949.2547791725159
2032,Emerging Markets - Equities,0.5229425687663268,52.29,354802.76872386393
2032,Developed Markets - Equities,0.008191476096274842,0.82,5557.700926413486
2032,Emerging Markets State - Obligations,0.0014628082992837353,0.15,992.4769290105949
2032,High Yield Bonds - Obligations,0.012477741980287081,1.25,8465.819511446352
2032,Investment Grade Bonds - Obligations,0.007003701053256092,0.7,4751.826822726834
2032,Government ZC Bonds - Obligations,0.4479217038045713,44.79,303903.0864446348
2033,Emerging Markets - Equities,0.6822337039742851,68.22,662923.0325998646
2033,Developed Markets - Equities,0.0006367241042510312,0.06,618.7015851908657
