Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal B Allocation (%),Goal B Amount Taken (DKK),Goal B Utility Net Δ,Goal B Utility Loss,Goal B Value Now,Goal B Utility φ_before,Goal B Utility φ_after,Goal C Allocation (%),Goal C Amount Taken (DKK),Goal C Utility Net Δ,Goal C Utility Loss,Goal C Value Now,Goal C Utility φ_before,Goal C Utility φ_after,Goal D Allocation (%),Goal D Amount Taken (DKK),Goal D Utility Net Δ,Goal D Utility Loss,Goal D Value Now,Goal D Utility φ_before,Goal D Utility φ_after,Goal A Allocation (%),Goal A Amount Taken (DKK),Goal A Utility Net Δ,Goal A Utility Loss,Goal A Value Now,Goal A Utility φ_before,Goal A Utility φ_after
2026,ASK,Emerging Markets - Equities,50430.34,0.957928548,0.084,0.02,0.98,49421.7332,8401.694644,41020.03856,91450.37856,187224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,ASK,Developed Markets - Equities,514.02,0.009763853,0.068,0.02,0.98,503.7396,85.635732,418.103868,932.123868,187224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,NORMAL,Emerging Markets State - Obligations,62.02342568,0.00117814,0.0483,0.02,0.98,60.78295717,16.41139843,44.37155873,106.3949844,187224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,NORMAL,High Yield Bonds - Obligations,571.3654512,0.010853135,0.0493,0.02,0.98,559.9381422,151.1832984,408.7548438,980.1202951,187224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,NORMAL,Investment Grade Bonds - Obligations,497.7657796,0.009455103,0.0363,0.02,0.98,487.8104641,131.7088253,356.1016388,853.8674184,187224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,NORMAL,Government ZC Bonds - Obligations,569.6793556,0.010821107,0.0283,0.02,0.98,558.2857685,150.7371575,407.548611,977.2279665,187224.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,ASK,Emerging Markets - Equities,139922.82,0.942420398,0.084,0.02,0.98,137124.3636,23311.14181,113813.2218,253736.0418,210908.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,ASK,Developed Markets - Equities,839.4,0.0056536,0.068,0.02,0.98,822.612,139.84404,682.76796,1522.16796,210908.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,NORMAL,Emerging Markets State - Obligations,2373.425058,0.0159857,0.0483,0.02,0.98,2325.956557,628.0082703,1697.948286,4071.373344,210908.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,NORMAL,High Yield Bonds - Obligations,872.5431568,0.005876829,0.0493,0.02,0.98,855.0922937,230.8749193,624.2173744,1496.760531,210908.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
