Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID
2025,Emerging Markets - Equities,0.021802129773913756,2.18,0.0,0
2025,Developed Markets - Equities,0.1284749272005885,12.85,0.0,0
2025,Emerging Markets State - Obligations,0.01520378770922486,1.52,0.0,0
2025,High Yield Bonds - Obligations,0.4134493609050722,41.34,0.0,0
2025,Investment Grade Bonds - Obligations,0.12211686471385097,12.21,0.0,0
2025,Government ZC Bonds - Obligations,0.29895292969734955,29.9,0.0,0
2026,Emerging Markets - Equities,0.9840067026836193,98.4,27108.026806861013,0
2026,Developed Markets - Equities,0.0008958639461409672,0.09,24.67981549420182,0
2026,Emerging Markets State - Obligations,0.006270122633701663,0.63,172.73322628102068,0
2026,High Yield Bonds - Obligations,0.007686808090616417,0.77,211.7609557042042,0
2026,Investment Grade Bonds - Obligations,0.0009539748421663708,0.1,26.28069049122289,0
2026,Government ZC Bonds - Obligations,0.00018652780375513268,0.02,5.138583599714356,0
2027,Emerging Markets - Equities,0.9827719918912123,98.28,54773.24872940596,0
2027,Developed Markets - Equities,0.0021072741984145224,0.21,117.44560769248584,0
2027,Emerging Markets State - Obligations,0.00312865569223328,0.31,174.3706961872135,0
2027,High Yield Bonds - Obligations,0.004905608781422998,0.49,273.40637723809203,0
2027,Investment Grade Bonds - Obligations,0.0022056882321109467,0.22,122.93055882112472,0
2027,Government ZC Bonds - Obligations,0.004880781204606042,0.49,272.02265135704954,0
2028,Emerging Markets - Equities,0.2559149085443761,25.59,26088.594749091735,0
2028,Developed Markets - Equities,0.0012910175421484043,0.13,131.60950123090566,0
2028,Emerging Markets State - Obligations,0.0012301489889409692,0.12,125.40441131791631,0
2028,High Yield Bonds - Obligations,0.007856613559465007,0.79,800.9224957582333,0
2028,Investment Grade Bonds - Obligations,0.005251214697223403,0.53,535.3217323506587,0
2028,Government ZC Bonds - Obligations,0.7284560966678462,72.85,74260.6048493546,0
2029,Emerging Markets - Equities,0.43350212124961857,43.35,57781.300283107645,0
2029,Developed Markets - Equities,0.006028682523322501,0.6,803.5603474960552,0
2029,Emerging Markets State - Obligations,0.003143079726351425,0.31,418.939665066793,0
2029,High Yield Bonds - Obligations,0.004654056724963175,0.47,620.3371009685695,0
2029,Investment Grade Bonds - Obligations,0.001732029655974343,0.17,230.86144391315176,0
2029,Government ZC Bonds - Obligations,0.55094003011977,55.09,73434.5456639742,0
2030,Emerging Markets - Equities,0.5218384589176648,52.18,82764.54015531123,0
2030,Developed Markets - Equities,0.005596078421749801,0.56,887.5483386368397,0
2030,Emerging Markets State - Obligations,0.004776381273160047,0.48,757.5428620179637,0
2030,High Yield Bonds - Obligations,0.0047493090072867955,0.47,753.2491508173572,0
2030,Investment Grade Bonds - Obligations,0.0012742213050877316,0.13,202.09384450203217,0
2030,Government ZC Bonds - Obligations,0.4617655510750509,46.18,73236.8663926329,0
2031,Emerging Markets - Equities,0.6261529700937644,62.62,132139.57522473318,0
2031,Developed Markets - Equities,0.00400732655135236,0.4,845.6822111746925,0
2031,Emerging Markets State - Obligations,0.00140741129979142,0.14,297.0116572202456,0
2031,High Yield Bonds - Obligations,0.005967514858316297,0.6,1259.3486195667444,0
2031,Investment Grade Bonds - Obligations,0.0037943619913689986,0.38,800.739445048534,0
2031,Government ZC Bonds - Obligations,0.35867041520540655,35.87,75691.6577491023,0
2032,Emerging Markets - Equities,0.6683001800685835,66.83,157812.82989285997,0
2032,Developed Markets - Equities,0.006092526509504287,0.61,1438.6930878328797,0
2032,Emerging Markets State - Obligations,0.0018130612855170372,0.18,428.13744597116084,0
2032,High Yield Bonds - Obligations,3.771446225826863e-05,0.0,8.905917122832491,0
