Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed
2026,ASK,Emerging Markets - Equities,49974.66,0.9492728681817145,-0.9885203742517823,0.02,-1.0085203742517823,-50400.46280630558,-8568.07867707195,-41832.38412923363,8142.275870766374,187224.30000000002,,,,,,,,
2026,ASK,Developed Markets - Equities,643.63,0.012225805961417185,-0.9889007994714204,0.02,-1.0089007994714203,-649.3588215637902,-110.39099966584435,-538.9678218979459,104.66217810205411,187224.30000000002,,,,,,,,
2026,NORMAL,Emerging Markets State - Obligations,651.3817715414947,0.01237305151355669,-0.9889394843443008,0.02,-1.0089394843443007,-657.2047886903528,0.0,-657.2047886903528,-5.823017148858071,187224.30000000002,,,,,,,,
2026,NORMAL,High Yield Bonds - Obligations,369.98863293170126,0.007027965188311588,-0.9887395840706636,0.02,-1.0087395840706637,-373.22217969439777,0.0,-373.22217969439777,-3.2335467626965055,187224.30000000002,,,,,,,,
2026,NORMAL,Investment Grade Bonds - Obligations,781.685867761581,0.014848188776214754,-0.988481612923038,0.02,-1.008481612923038,-788.3158247193438,0.0,-788.3158247193438,-6.629956957762829,187224.30000000002,,,,,,,,
2026,NORMAL,Government ZC Bonds - Obligations,223.85324990935905,0.004252111301872897,-0.9889461850624608,0.02,-1.0089461850624608,-225.85588250988147,0.0,-225.85588250988147,-2.0026326005224178,187224.30000000002,,,,,,,,
2027,ASK,Emerging Markets - Equities,57378.81,0.9344945947576477,-0.9903852577107389,0.02,-1.0103852577107388,-57974.703728985514,-9855.699633927537,-48119.00409505798,9259.80590494202,210908.17395000003,,,,,,,,
2027,ASK,Developed Markets - Equities,1215.6,0.019797755118786824,-0.9920848510110687,0.02,-1.0120848510110687,-1230.290344889055,-209.14935863113936,-1021.1409862579155,194.45901374208432,210908.17395000003,,,,,,,,
2027,NORMAL,Emerging Markets State - Obligations,1304.6228554600682,0.021247617485003988,-0.992231152472402,0.02,-1.012231152472402,-1320.5798965241806,0.0,-1320.5798965241806,-15.957041064112445,210908.17395000003,,,,,,,,
2027,NORMAL,High Yield Bonds - Obligations,430.09446108248886,0.007004693006299527,-0.9928232782505773,0.02,-1.0128232782505773,-435.6096820309817,0.0,-435.6096820309817,-5.515220948492811,210908.17395000003,,,,,,,,
2027,NORMAL,Investment Grade Bonds - Obligations,372.9605113201224,0.006074186304782251,-0.992678289557438,0.02,-1.012678289557438,-377.68901267612904,0.0,-377.68901267612904,-4.728501356006632,210908.17395000003,,,,,,,,
2027,NORMAL,Government ZC Bonds - Obligations,698.8064130125322,0.0113810449492102,-0.9923967851716737,0.02,-1.0123967851716738,-707.4693659912365,0.0,-707.4693659912365,-8.662952978704311,210908.17395000003,,,,,,,,
2028,ASK,Emerging Markets - Equities,66035.47,0.9648675159456932,-0.9932199702332264,0.02,-1.0132199702332263,-66908.45694773711,-11374.43768111531,-55534.0192666218,10501.4507333782,237588.05795467505,,,,,,,,
2028,ASK,Developed Markets - Equities,771.5,0.01127265829337025,-0.993450377985875,0.02,-1.013450377985875,-781.8769666161025,-132.91908432473744,-648.9578822913651,122.54211770863489,237588.05795467505,,,,,,,,
2028,NORMAL,Emerging Markets State - Obligations,215.36239578476798,0.0031467358352861323,-0.9947412095675432,0.02,-1.0147412095675432,-218.53709799399942,0.0,-218.53709799399942,-3.174702209231441,237588.05795467505,,,,,,,,
2028,NORMAL,High Yield Bonds - Obligations,488.65598859774997,0.007139924799055689,-0.9945677029685034,0.02,-1.0145677029685034,-495.7745838934224,0.0,-495.7745838934224,-7.118595295672435,237588.05795467505,,,,,,,,
2028,NORMAL,Investment Grade Bonds - Obligations,660.5477241492929,0.009651495503303138,-0.9944610615745675,0.02,-1.0144610615745675,-670.0999454611563,0.0,-670.0999454611563,-9.552221311863377,237588.05795467505,,,,,,,,
2028,NORMAL,Government ZC Bonds - Obligations,268.39573421745456,0.00392162462635332,-0.994154939345768,0.02,-1.014154939345768,-272.19485955596554,0.0,-272.19485955596554,-3.799125338510976,237588.05795467505,,,,,,,,
2029,ASK,Emerging Markets - Equities,67452.59,0.9607113723541385,-0.9923858499535053,0.02,-1.0123858499535052,-68288.04765871531,-11608.968101981603,-56679.079556733705,10773.51044326629,267642.94728594145,,,,,,,,
2029,ASK,Developed Markets - Equities,1395.89,0.019881332911833607,-0.9943620006814438,0.02,-1.0143620006814438,-1415.9377731312206,-240.70942143230752,-1175.2283516989132,220.66164830108698,267642.94728594145,,,,,,,,
