,Final Wealth
2025,0.0
2026,52105.331767671865
2027,81101.96775821569
2028,135440.04363186136
2029,106215.24853389747
2030,69874.40088474026
2031,44753.70774339427
2032,35140.931866326595
2033,31998.006995345793
2034,37227.02447157184
2035,45279.252891922275
2036,51061.77483059829
2037,70591.15808412094
2038,94673.85617164885
2039,240529.7023147725
2040,298221.8246369564
2041,365954.7716726858
2042,294205.43828691705
2043,318683.27305455646
2044,268841.9143708772
2045,374796.00617570133
2046,428843.64045113145
2047,457149.2801159002
2048,685898.4221283604
2049,1508010.5220327298
2050,2429197.366523589
2051,3493008.3088557282
2052,4123443.150617573
2053,4801885.509704002
2054,5920226.335368686
2055,6304050.594845206
2056,6495361.43108865
2057,6942868.999142852
2058,6561693.588868878
2059,5504934.662989812
2060,5012267.902254135
2061,4933623.346064005
2062,5291343.049551228
2063,5388260.202981695
2064,5165051.1679961765
2065,5401619.637563249
2066,6107907.958692525
2067,5710145.1162658995
2068,5758216.885464714
2069,4686200.669692727
2070,3116868.003440446
2071,2288629.211984783
2072,1712917.8626006083
2073,1403871.368511688
2074,0.0
2075,0.0
