,Year,Gross_Salary_DKK,Ratepension_Contribution,Aldersopsparing_Contribution,Ratepension_Balance,Aldersopsparing_Balance
0,2025,43871,6580.65,9400,6580.65,14920.63492
1,2026,45187.13,6778.0695,9400,12773.25594,30634.22845
2,2027,49253.9717,7388.095755,9400,19886.29093,47182.92244
3,2028,50731.59085,7609.738628,9400,27579.9138,64611.0984
4,2029,52253.53858,7838.030786,9400,35891.24768,82965.49648
5,2030,53821.14473,8073.17171,9400,44859.58046,102295.3408
6,2031,58665.04776,8799.757164,9400,55010.87595,122652.4717
7,2032,60424.99919,9063.749879,9400,65945.00519,144091.4842
8,2033,62237.74917,9335.662375,9400,77711.07871,166669.8752
9,2034,64104.88164,9615.732247,9400,90361.04638,190448.197
10,2035,69874.32099,10481.14815,9400,104526.7992,215490.22
11,2036,71970.55062,10795.58259,9400,119737.4739,241863.1038
12,2037,74129.66714,11119.45007,9400,136057.589,269637.5771
13,2038,76353.55715,11453.03357,9400,153555.3658,298888.1275
14,2039,83225.3773,12483.80659,9400,172990.1157,329693.2012
15,2040,85722.13862,12858.32079,9400,193808.0461,362135.4137
16,2041,88293.80278,13244.07042,9400,216093.4177,396301.7706
17,2042,90942.61686,13641.39253,9400,239935.2967,432283.902
18,2043,99127.45238,14869.11786,9400,266246.3036,470178.3073
19,2044,102101.2759,15315.19139,9400,294375.4953,510086.6145
20,2045,105164.3142,15774.64713,9400,324432.3576,552115.8525
21,2046,108319.2437,16247.88655,9400,356532.5862,596378.7385
22,2047,118067.9756,17710.19634,9400,391773.3014,642993.98
23,2048,121610.0148,18241.50223,9400,429389.8451,692086.593
24,2049,125258.3153,18788.74729,9400,469523.8529,743788.2378
25,2050,129016.0648,19352.40971,9400,512324.9547,798237.5715
26,2051,132886.5467,19932.982,9400,557951.2137,855580.6204
27,2052,136873.1431,20530.97146,9400,606569.5885,915971.1713
28,2053,140979.3374,21146.90061,9400,658356.4213,979571.1839
29,2054,145208.7175,21781.30763,9400,713497.9521,1046551.225
30,2055,149564.979,22434.74686,9400,772190.8603,1117090.928
31,2056,154051.9284,23107.78926,9400,834642.8362,1191379.47
32,2057,158673.4863,23801.02294,9400,901073.1826,1269616.083
33,2058,163433.6908,24515.05363,9400,971713.45,1352010.589
34,2059,168336.7016,25250.50524,9400,1046808.105,1438783.96
35,2060,183487.0047,27523.05071,9400,1128130.265,1530168.909
36,2061,188991.6149,28348.74223,9400,1214563.318,1626410.521
37,2062,194661.3633,29199.2045,9400,1306402.921,1727766.902
38,2063,200501.2042,30075.18063,9400,1403961.171,1834509.879
39,2064,206516.2403,30977.43605,9400,1507567.503,1946925.721
40,2065,212711.7275,31906.75913,9400,1617569.631,2065315.914
41,2066,219093.0794,32863.9619,9400,1734334.546,2189997.966
42,2067,225665.8717,33849.88076,9400,1858249.565,2321306.257
43,2068,232435.8479,34865.37718,9400,1989723.431,2459592.941
44,2069," 239,408.92 "," 35,911.34 ",9400," 2,129,187.48 ",2605228.884
