Goal,Path_ID,Year,Status,Redeemed Amount (DKK),Goal Value (DKK)
A,0,2074,TRUE,5012562.642743905,5012562.642743905
A,1,2074,PARTIAL,2947225.533894511,5012562.642743905
A,2,2074,PARTIAL,2640333.745807977,5012562.642743905
A,3,2074,TRUE,5012562.642743905,5012562.642743905
A,4,2074,TRUE,5012562.642743905,5012562.642743905
A,5,2074,PARTIAL,3327365.306324004,5012562.642743905
A,6,2074,PARTIAL,1565084.5514491824,5012562.642743905
A,7,2074,TRUE,5012562.642743905,5012562.642743905
A,8,2074,PARTIAL,2753540.2660793657,5012562.642743905
A,9,2074,TRUE,5012562.642743905,5012562.642743905
B,0,2029,FALSE,0.0,700000.0
B,1,2029,FALSE,0.0,700000.0
B,2,2029,FALSE,0.0,700000.0
B,3,2029,FALSE,0.0,700000.0
B,4,2029,FALSE,0.0,700000.0
B,5,2029,FALSE,0.0,700000.0
B,6,2029,PARTIAL,1664.5384705166427,700000.0
B,7,2029,FALSE,0.0,700000.0
B,8,2029,PARTIAL,1826.7110066429736,700000.0
B,9,2029,PARTIAL,1528.0367240165035,700000.0
C,0,2044,TRUE,72530.0,72530.0
C,1,2044,TRUE,72530.0,72530.0
C,2,2044,TRUE,72530.0,72530.0
C,3,2044,TRUE,72530.0,72530.0
C,4,2044,TRUE,72530.0,72530.0
C,5,2044,PARTIAL,67549.0355426019,72530.0
C,6,2044,TRUE,72530.0,72530.0
C,7,2044,TRUE,72530.0,72530.0
C,8,2044,TRUE,72530.0,72530.0
C,9,2044,TRUE,72530.0,72530.0
D,0,2054,FALSE,0.0,1250000.0
D,1,2054,FALSE,0.0,1250000.0
D,2,2054,FALSE,0.0,1250000.0
D,3,2054,FALSE,0.0,1250000.0
D,4,2054,FALSE,0.0,1250000.0
D,5,2054,FALSE,0.0,1250000.0
D,6,2054,FALSE,0.0,1250000.0
D,7,2054,FALSE,0.0,1250000.0
D,8,2054,FALSE,0.0,1250000.0
D,9,2054,FALSE,0.0,1250000.0
