Year,Final Wealth,Path_ID
2025,0.0,0
2026,42950.00926625647,0
2027,111437.5748873338,0
2028,154622.4018776971,0
2029,188548.89580037427,0
2030,270601.6221450845,0
2031,301735.8534720583,0
2032,361751.33923373034,0
2033,493442.970985525,0
2034,624217.0391677739,0
2035,659017.8979324194,0
2036,791843.602323755,0
2037,815023.9783762937,0
2038,879042.3753803201,0
2039,1088420.770178671,0
2040,924633.6928922543,0
2041,1074445.6198367344,0
2042,1079438.9594232,0
2043,1369159.0558013078,0
2044,1501082.660557646,0
2045,1608045.9788384866,0
2046,1693195.3202504846,0
2047,1786477.8575292209,0
2048,1777922.3265431654,0
2049,1899287.426608668,0
2050,2004822.7995083288,0
2051,2460766.251922512,0
2052,2658779.495028892,0
2053,2446904.658293155,0
2054,2446692.188120691,0
2055,2950164.024600105,0
2056,2864381.758644719,0
2057,3115979.979032461,0
2058,2947616.797498675,0
2059,3463486.7890965086,0
2060,3648148.7556604743,0
2061,3628317.6217341926,0
2062,4113478.456070758,0
2063,4363063.630790791,0
2064,4607457.125039151,0
2065,4720784.858349268,0
2066,5538337.4608404,0
2067,5137980.780812496,0
2068,5360047.393082658,0
2069,5221059.0810368415,0
2070,5267947.180274687,0
2071,5515109.977575247,0
2072,5639696.325386158,0
2073,5568033.843362272,0
2074,435875.8313677162,0
2075,,0
2025,0.0,1
2026,49587.507103318014,1
2027,95574.74166083058,1
2028,132339.04502416967,1
2029,207019.53390446317,1
2030,296297.70714059466,1
2031,351382.97924456495,1
2032,413983.3828990483,1
2033,489580.1993511361,1
2034,572596.3781238308,1
2035,648198.6449392883,1
2036,759879.9917111598,1
2037,767733.3275487494,1
2038,780882.117653217,1
2039,796797.0561303247,1
2040,870969.1808143415,1
2041,938026.581387275,1
2042,1164494.1305040314,1
2043,1162158.2484206515,1
2044,1425627.301660782,1
2045,1247967.8072759209,1
2046,1394277.1785035226,1
2047,1222594.5660747408,1
2048,1142186.065799449,1
2049,858352.6492210156,1
2050,1011194.8756652833,1
2051,1007975.8286515931,1
2052,1139656.3052009693,1
2053,1091490.7082457978,1
2054,1235036.4335203983,1
2055,1618926.34409672,1
2056,1215374.422022359,1
2057,1070402.7596555375,1
2058,1290507.4215911191,1
2059,1403998.9270238944,1
2060,1467911.0474673023,1
2061,1411635.6934729712,1
2062,1540486.757146624,1
2063,1704395.698761132,1
2064,1821890.6329750984,1
2065,1764059.2236967366,1
2066,1393319.4852207622,1
2067,1858615.9063092947,1
2068,2007132.0787636936,1
2069,2499382.020339512,1
2070,2535755.6156738894,1
2071,3055302.20964227,1
2072,3262358.262859729,1
2073,2953200.309416023,1
2074,0.0,1
2075,0.0,1
2025,0.0,2
2026,45150.7306826017,2
2027,92351.62682036063,2
2028,143514.55646703488,2
2029,163696.68312533782,2
2030,203118.13130781933,2
2031,221998.22336684293,2
2032,266433.5541771812,2
2033,329539.8956415592,2
2034,432437.30189561995,2
2035,550085.1256615077,2
2036,649437.8257269129,2
2037,803566.1402595,2
2038,919207.2101516578,2
2039,1128852.6637381052,2
2040,1263504.2645523353,2
2041,1332144.0740005472,2
2042,1434654.0850273026,2
2043,1605426.8284538104,2
2044,1512023.9578090655,2
2045,1709453.2510578013,2
2046,1720307.4030003948,2
2047,1666886.279421848,2
2048,2008821.8119247754,2
2049,2453568.5373248374,2
2050,2175970.212493891,2
2051,1905944.2374630892,2
2052,1802700.653641204,2
2053,1694346.0774497932,2
2054,1841842.0570107384,2
2055,1951759.8236697984,2
2056,1655632.0044795147,2
2057,1610623.9214296592,2
2058,1670722.9515990345,2
2059,1403990.8687675241,2
2060,1522989.4625494876,2
2061,1690813.5419380118,2
2062,1908435.0258396114,2
2063,2223833.409015519,2
2064,1964297.8527749223,2
2065,2024921.1338057716,2
2066,1702888.6911957383,2
