Year,Goal A (%),Goal B (%),Goal C (%),Goal D (%),Path_ID
2025,18.0,1.0,52.0,28.999999999999996,0
2026,43.13725490196079,0.9803921568627451,54.90196078431373,0.9803921568627451,0
2027,48.51485148514851,0.9900990099009901,49.504950495049506,0.9900990099009901,0
2028,50.495049504950494,1.9801980198019802,46.53465346534654,0.9900990099009901,0
2029,58.415841584158414,0.9900990099009901,38.613861386138616,1.9801980198019802,0
2030,67.67676767676768,0.0,31.313131313131315,1.0101010101010102,0
2031,71.71717171717171,0.0,24.242424242424242,4.040404040404041,0
2032,71.0,0.0,21.0,8.0,0
2033,80.8080808080808,0.0,18.181818181818183,1.0101010101010102,0
2034,79.7979797979798,0.0,14.14141414141414,6.0606060606060606,0
2035,87.0,0.0,12.0,1.0,0
2036,87.87878787878788,0.0,11.11111111111111,1.0101010101010102,0
2037,87.0,0.0,12.0,1.0,0
2038,88.88888888888889,0.0,10.1010101010101,1.0101010101010102,0
2039,89.8989898989899,0.0,9.090909090909092,1.0101010101010102,0
2040,85.85858585858585,0.0,8.080808080808081,6.0606060606060606,0
2041,90.0,0.0,9.0,1.0,0
2042,90.0990099009901,0.0,8.91089108910891,0.9900990099009901,0
2043,89.8989898989899,0.0,8.080808080808081,2.0202020202020203,0
2044,90.0,0.0,8.0,2.0,0
2045,98.9795918367347,0.0,0.0,1.0204081632653061,0
2046,98.96907216494846,0.0,0.0,1.0309278350515463,0
2047,96.875,0.0,0.0,3.125,0
2048,96.90721649484536,0.0,0.0,3.0927835051546393,0
2049,97.97979797979798,0.0,0.0,2.0202020202020203,0
2050,98.96907216494846,0.0,0.0,1.0309278350515463,0
2051,97.91666666666666,0.0,0.0,2.083333333333333,0
2052,98.96907216494846,0.0,0.0,1.0309278350515463,0
2053,97.95918367346938,0.0,0.0,2.0408163265306123,0
2054,97.95918367346938,0.0,0.0,2.0408163265306123,0
2055,100.0,0.0,0.0,0.0,0
2056,100.0,0.0,0.0,0.0,0
2057,100.0,0.0,0.0,0.0,0
2058,100.0,0.0,0.0,0.0,0
2059,100.0,0.0,0.0,0.0,0
2060,100.0,0.0,0.0,0.0,0
2061,100.0,0.0,0.0,0.0,0
2062,100.0,0.0,0.0,0.0,0
2063,100.0,0.0,0.0,0.0,0
2064,100.0,0.0,0.0,0.0,0
2065,100.0,0.0,0.0,0.0,0
2066,100.0,0.0,0.0,0.0,0
2067,100.0,0.0,0.0,0.0,0
2068,100.0,0.0,0.0,0.0,0
2069,100.0,0.0,0.0,0.0,0
2070,100.0,0.0,0.0,0.0,0
2071,100.0,0.0,0.0,0.0,0
2072,100.0,0.0,0.0,0.0,0
2073,100.0,0.0,0.0,0.0,0
2074,100.0,0.0,0.0,0.0,0
2075,0.0,0.0,0.0,0.0,0
2025,35.64356435643564,16.831683168316832,25.742574257425744,21.782178217821784,1
2026,41.17647058823529,0.9803921568627451,56.86274509803921,0.9803921568627451,1
2027,17.82178217821782,0.9900990099009901,78.21782178217822,2.9702970297029703,1
2028,46.07843137254902,0.9803921568627451,51.9607843137255,0.9803921568627451,1
2029,56.99999999999999,1.0,41.0,1.0,1
2030,69.38775510204081,0.0,29.591836734693878,1.0204081632653061,1
2031,76.76767676767676,0.0,22.22222222222222,1.0101010101010102,1
2032,77.77777777777779,0.0,21.21212121212121,1.0101010101010102,1
2033,82.0,0.0,17.0,1.0,1
2034,74.74747474747475,0.0,14.14141414141414,11.11111111111111,1
2035,85.85858585858585,0.0,13.131313131313133,1.0101010101010102,1
2036,85.0,0.0,11.0,4.0,1
2037,85.85858585858585,0.0,9.090909090909092,5.05050505050505,1
2038,87.87878787878788,0.0,11.11111111111111,1.0101010101010102,1
2039,86.86868686868688,0.0,12.121212121212121,1.0101010101010102,1
2040,86.86868686868688,0.0,12.121212121212121,1.0101010101010102,1
2041,88.77551020408163,0.0,9.183673469387756,2.0408163265306123,1
2042,90.0,0.0,9.0,1.0,1
2043,91.91919191919192,0.0,7.07070707070707,1.0101010101010102,1
2044,92.07920792079209,0.0,6.9306930693069315,0.9900990099009901,1
2045,98.94736842105263,0.0,0.0,1.0526315789473684,1
2046,97.9381443298969,0.0,0.0,2.0618556701030926,1
2047,98.9247311827957,0.0,0.0,1.0752688172043012,1
2048,96.90721649484536,0.0,0.0,3.0927835051546393,1
2049,96.80851063829788,0.0,0.0,3.1914893617021276,1
2050,95.95959595959596,0.0,0.0,4.040404040404041,1
2051,98.95833333333334,0.0,0.0,1.0416666666666665,1
2052,96.90721649484536,0.0,0.0,3.0927835051546393,1
2053,98.95833333333334,0.0,0.0,1.0416666666666665,1
2054,97.95918367346938,0.0,0.0,2.0408163265306123,1
2055,100.0,0.0,0.0,0.0,1
2056,100.0,0.0,0.0,0.0,1
2057,100.0,0.0,0.0,0.0,1
2058,100.0,0.0,0.0,0.0,1
2059,100.0,0.0,0.0,0.0,1
2060,100.0,0.0,0.0,0.0,1
2061,100.0,0.0,0.0,0.0,1
2062,100.0,0.0,0.0,0.0,1
2063,100.0,0.0,0.0,0.0,1
2064,100.0,0.0,0.0,0.0,1
2065,100.0,0.0,0.0,0.0,1
2066,100.0,0.0,0.0,0.0,1
2067,100.0,0.0,0.0,0.0,1
2068,100.0,0.0,0.0,0.0,1
2069,100.0,0.0,0.0,0.0,1
2070,100.0,0.0,0.0,0.0,1
2071,100.0,0.0,0.0,0.0,1
2072,100.0,0.0,0.0,0.0,1
2073,100.0,0.0,0.0,0.0,1
