,Final Wealth
2025,0.0
2026,95300.11308842296
2027,268483.1556124025
2028,535022.7302373957
2029,700111.5856214907
2030,1210903.3468784227
2031,2014022.7601748817
2032,3285308.2788669346
2033,5281582.69271096
2034,8415108.705701241
2035,8593198.816504825
2036,8781746.302160127
2037,8972998.481399681
2038,9167307.176559681
2039,9064721.95824875
2040,9269761.829266304
2041,9477949.782019021
2042,9689234.742811805
2043,9904037.082746968
2044,10131180.564185476
2045,10361980.226521458
2046,10596488.69461845
2047,10834759.305920063
2048,11087368.753981616
2049,11344076.484041814
2050,11604941.71629585
2051,11870024.474694423
2052,12139385.597435316
2053,12413086.747588348
2054,12691190.423855383
2055,12973759.971467065
2056,13260859.593217991
2057,13552554.360642048
2058,13848910.225329652
2059,14149994.030388674
2060,14455873.522050831
2061,14779778.817516332
2062,15108902.33603533
2063,15443319.218211506
2064,15783105.622371707
2065,16128338.737832457
2066,16479096.798334964
2067,16835459.095650736
2068,17197505.993359923
2069,17565318.940804534
2070,17938980.487218715
2071,18157197.66087045
2072,18377946.15373655
2073,18601255.329119895
2074,11827154.890937686
2075,11974474.887672564
