,Final Wealth
2025,0.0
2026,29600.849486503816
2027,58338.3508783183
2028,110531.67211774243
2029,228444.82261167455
2030,398942.75268859736
2031,610975.7838054989
2032,903522.0575042826
2033,1571223.0556224124
2034,2881223.406415844
2035,4411565.200662439
2036,5796746.5817316435
2037,7619613.745368235
2038,7041769.596553353
2039,7698991.96828285
2040,7536850.1694887085
2041,7591615.318417563
2042,7242843.567631661
2043,7431649.838932708
2044,6818403.484907809
2045,6824018.450057501
2046,6894888.374395473
2047,7250849.399603305
2048,6609179.589653357
2049,6266203.281498969
2050,6408106.907148637
2051,7543129.495424969
2052,8174647.101630164
2053,8657773.141664287
2054,8946383.508807132
2055,9739143.982067633
2056,10001671.592496056
2057,9839694.507705268
2058,9482262.502437253
2059,9815917.045971489
2060,10167504.103744764
2061,9985159.464988464
2062,10977905.800306719
2063,9807654.246633662
2064,10553917.993660504
2065,10188724.07603529
2066,10060701.751024446
2067,12339006.39212011
2068,15753287.020171981
2069,13032199.327757467
2070,12930963.128292304
2071,14319975.002693005
2072,13905213.51591102
2073,13427705.11532308
2074,4802011.091999637
2075,
