Goal,Path_ID,Year,Status,Redeemed Amount (DKK),Goal Value (DKK)
A,0,2074,TRUE,2100058.763200594,2100058.763200594
A,1,2074,TRUE,2100058.763200594,2100058.763200594
A,2,2074,TRUE,2100058.763200594,2100058.763200594
B,0,2029,PARTIAL,201966.87550470547,250000.0
B,1,2029,PARTIAL,3082.3411052088904,250000.0
B,2,2029,PARTIAL,179666.38076358827,250000.0
C,0,2034,FALSE,0.0,4000000.0
C,1,2034,FALSE,0.0,4000000.0
C,2,2034,FALSE,0.0,4000000.0
D,0,2039,TRUE,300000.0,300000.0
D,1,2039,PARTIAL,294471.1274411959,300000.0
D,2,2039,TRUE,300000.0,300000.0
