Year,Goal A (%),Goal B (%),Goal C (%),Goal D (%)
2025,22.0,59.0,12.0,7.000000000000001
2026,95.0,1.0,2.0,2.0
2027,93.06930693069307,2.9702970297029703,2.9702970297029703,0.9900990099009901
2028,21.782178217821784,76.23762376237624,0.9900990099009901,0.9900990099009901
2029,35.64356435643564,42.57425742574257,0.9900990099009901,20.792079207920793
2030,55.00000000000001,0.0,5.0,40.0
2031,73.0,0.0,2.0,25.0
2032,84.0,0.0,1.0,15.0
2033,82.82828282828282,0.0,3.0303030303030303,14.14141414141414
2034,15.306122448979592,0.0,78.57142857142857,6.122448979591836
2035,94.6236559139785,0.0,0.0,5.376344086021505
2036,90.32258064516128,0.0,0.0,9.67741935483871
2037,95.23809523809523,0.0,0.0,4.761904761904762
2038,94.3820224719101,0.0,0.0,5.617977528089887
2039,88.76404494382022,0.0,0.0,11.235955056179774
2040,100.0,0.0,0.0,0.0
2041,100.0,0.0,0.0,0.0
2042,100.0,0.0,0.0,0.0
2043,100.0,0.0,0.0,0.0
2044,100.0,0.0,0.0,0.0
2045,100.0,0.0,0.0,0.0
2046,100.0,0.0,0.0,0.0
2047,100.0,0.0,0.0,0.0
2048,100.0,0.0,0.0,0.0
2049,100.0,0.0,0.0,0.0
2050,100.0,0.0,0.0,0.0
2051,100.0,0.0,0.0,0.0
2052,100.0,0.0,0.0,0.0
2053,100.0,0.0,0.0,0.0
2054,100.0,0.0,0.0,0.0
2055,100.0,0.0,0.0,0.0
2056,100.0,0.0,0.0,0.0
2057,100.0,0.0,0.0,0.0
2058,100.0,0.0,0.0,0.0
2059,100.0,0.0,0.0,0.0
2060,100.0,0.0,0.0,0.0
2061,100.0,0.0,0.0,0.0
2062,100.0,0.0,0.0,0.0
2063,100.0,0.0,0.0,0.0
2064,100.0,0.0,0.0,0.0
2065,100.0,0.0,0.0,0.0
2066,100.0,0.0,0.0,0.0
2067,100.0,0.0,0.0,0.0
2068,100.0,0.0,0.0,0.0
2069,100.0,0.0,0.0,0.0
2070,100.0,0.0,0.0,0.0
2071,100.0,0.0,0.0,0.0
2072,100.0,0.0,0.0,0.0
2073,100.0,0.0,0.0,0.0
2074,100.0,0.0,0.0,0.0
2075,0.0,0.0,0.0,0.0
