Year,Goal,Reason
2028,Goal A,Required return > 100% (109.26%)
2029,Goal A,Required return > 100% (127.66%)
2029,Goal A,Required return > 100% (102.82%)
2030,Goal A,Required return > 100% (158.36%)
2030,Goal A,Required return > 100% (124.91%)
2030,Goal A,Required return > 100% (107.40%)
2031,Goal A,Required return > 100% (214.61%)
2031,Goal A,Required return > 100% (164.55%)
2031,Goal A,Required return > 100% (139.05%)
2031,Goal A,Required return > 100% (122.46%)
2031,Goal A,Required return > 100% (110.39%)
2031,Goal A,Required return > 100% (101.02%)
2032,Goal A,Required return > 100% (338.07%)
2032,Goal A,Required return > 100% (247.70%)
2032,Goal A,Required return > 100% (203.74%)
2032,Goal A,Required return > 100% (175.97%)
2032,Goal A,Required return > 100% (156.19%)
2032,Goal A,Required return > 100% (141.08%)
2032,Goal A,Required return > 100% (129.01%)
2032,Goal A,Required return > 100% (119.04%)
2032,Goal A,Required return > 100% (110.60%)
2032,Goal A,Required return > 100% (103.34%)
2033,Goal A,Required return > 100% (757.52%)
2033,Goal A,Required return > 100% (506.36%)
2033,Goal A,Required return > 100% (395.09%)
2033,Goal A,Required return > 100% (328.76%)
2033,Goal A,Required return > 100% (283.49%)
2033,Goal A,Required return > 100% (250.08%)
2033,Goal A,Required return > 100% (224.11%)
2033,Goal A,Required return > 100% (203.18%)
2033,Goal A,Required return > 100% (185.84%)
2033,Goal A,Required return > 100% (171.17%)
2033,Goal A,Required return > 100% (158.55%)
2033,Goal A,Required return > 100% (147.54%)
2033,Goal A,Required return > 100% (137.83%)
2033,Goal A,Required return > 100% (129.18%)
2033,Goal A,Required return > 100% (121.41%)
2033,Goal A,Required return > 100% (114.38%)
2033,Goal A,Required return > 100% (107.98%)
2033,Goal A,Required return > 100% (102.12%)
2034,Goal A,Required return > 100% (6427.17%)
2034,Goal A,Required return > 100% (3163.59%)
2034,Goal A,Required return > 100% (2075.72%)
2034,Goal A,Required return > 100% (1531.79%)
2034,Goal A,Required return > 100% (1205.43%)
2034,Goal A,Required return > 100% (987.86%)
2034,Goal A,Required return > 100% (832.45%)
2034,Goal A,Required return > 100% (715.90%)
2034,Goal A,Required return > 100% (625.24%)
2034,Goal A,Required return > 100% (552.72%)
2034,Goal A,Required return > 100% (493.38%)
2034,Goal A,Required return > 100% (443.93%)
2034,Goal A,Required return > 100% (402.09%)
2034,Goal A,Required return > 100% (366.23%)
2034,Goal A,Required return > 100% (335.14%)
2034,Goal A,Required return > 100% (307.95%)
2034,Goal A,Required return > 100% (283.95%)
2034,Goal A,Required return > 100% (262.62%)
2034,Goal A,Required return > 100% (243.54%)
2034,Goal A,Required return > 100% (226.36%)
2034,Goal A,Required return > 100% (210.82%)
2034,Goal A,Required return > 100% (196.69%)
2034,Goal A,Required return > 100% (183.79%)
2034,Goal A,Required return > 100% (171.97%)
2034,Goal A,Required return > 100% (161.09%)
2034,Goal A,Required return > 100% (151.05%)
2034,Goal A,Required return > 100% (141.75%)
2034,Goal A,Required return > 100% (133.11%)
2034,Goal A,Required return > 100% (125.07%)
2034,Goal A,Required return > 100% (117.57%)
2034,Goal A,Required return > 100% (110.55%)
2034,Goal A,Required return > 100% (103.97%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2035,Goal A,Required return > 100% (inf%)
2037,Goal B,Required return > 100% (107.66%)
2038,Goal B,Required return > 100% (186.10%)
2038,Goal B,Required return > 100% (102.30%)
2039,Goal B,Required return > 100% (653.16%)
2039,Goal B,Required return > 100% (276.58%)
2039,Goal B,Required return > 100% (151.05%)
2040,Goal B,Required return > 100% (inf%)
2040,Goal B,Required return > 100% (inf%)
2040,Goal B,Required return > 100% (inf%)
2040,Goal B,Required return > 100% (inf%)
2040,Goal B,Required return > 100% (inf%)
2040,Goal B,Required return > 100% (inf%)
2041,Goal C,Required return > 100% (124.87%)
2041,Goal B,Required return > 100% (103.36%)
2041,Goal B,Required return > 100% (119.01%)
2041,Goal B,Required return > 100% (134.65%)
2041,Goal B,Required return > 100% (150.29%)
2041,Goal B,Required return > 100% (165.94%)
2041,Goal B,Required return > 100% (181.58%)
2041,Goal B,Required return > 100% (197.22%)
2041,Goal B,Required return > 100% (212.86%)
2041,Goal B,Required return > 100% (228.51%)
2041,Goal B,Required return > 100% (244.15%)
2041,Goal B,Required return > 100% (259.79%)
2041,Goal B,Required return > 100% (275.44%)
2041,Goal B,Required return > 100% (291.08%)
2041,Goal B,Required return > 100% (306.72%)
2041,Goal B,Required return > 100% (322.37%)
2041,Goal B,Required return > 100% (338.01%)
2041,Goal B,Required return > 100% (353.65%)
2041,Goal B,Required return > 100% (369.30%)
2041,Goal B,Required return > 100% (384.94%)
2041,Goal B,Required return > 100% (400.58%)
2041,Goal B,Required return > 100% (416.23%)
2041,Goal B,Required return > 100% (431.87%)
2041,Goal B,Required return > 100% (447.51%)
2041,Goal B,Required return > 100% (463.16%)
2041,Goal B,Required return > 100% (478.80%)
2041,Goal B,Required return > 100% (494.44%)
2041,Goal B,Required return > 100% (510.09%)
2041,Goal B,Required return > 100% (525.73%)
2041,Goal B,Required return > 100% (541.37%)
2041,Goal B,Required return > 100% (557.02%)
2041,Goal B,Required return > 100% (572.66%)
2041,Goal B,Required return > 100% (588.30%)
2041,Goal B,Required return > 100% (603.95%)
2041,Goal B,Required return > 100% (619.59%)
2041,Goal B,Required return > 100% (635.23%)
2041,Goal B,Required return > 100% (650.88%)
2041,Goal B,Required return > 100% (666.52%)
2041,Goal B,Required return > 100% (682.16%)
2041,Goal B,Required return > 100% (697.81%)
2041,Goal B,Required return > 100% (713.45%)
2041,Goal B,Required return > 100% (729.09%)
2041,Goal B,Required return > 100% (744.74%)
2041,Goal B,Required return > 100% (760.38%)
2041,Goal B,Required return > 100% (776.02%)
2041,Goal B,Required return > 100% (791.67%)
2041,Goal B,Required return > 100% (807.31%)
2041,Goal B,Required return > 100% (822.95%)
2041,Goal B,Required return > 100% (838.59%)
2041,Goal B,Required return > 100% (854.24%)
2041,Goal B,Required return > 100% (869.88%)
2041,Goal B,Required return > 100% (885.52%)
2041,Goal B,Required return > 100% (901.17%)
2041,Goal B,Required return > 100% (916.81%)
2041,Goal B,Required return > 100% (932.45%)
2041,Goal B,Required return > 100% (948.10%)
2041,Goal B,Required return > 100% (963.74%)
2041,Goal B,Required return > 100% (979.38%)
2041,Goal B,Required return > 100% (995.03%)
2041,Goal B,Required return > 100% (1010.67%)
2041,Goal B,Required return > 100% (1026.31%)
2041,Goal B,Required return > 100% (1041.96%)
2041,Goal B,Required return > 100% (1057.60%)
2041,Goal B,Required return > 100% (1073.24%)
2041,Goal B,Required return > 100% (1088.89%)
2041,Goal B,Required return > 100% (1104.53%)
2041,Goal B,Required return > 100% (1120.17%)
2041,Goal B,Required return > 100% (1135.82%)
2041,Goal B,Required return > 100% (1151.46%)
2041,Goal B,Required return > 100% (1167.10%)
2041,Goal B,Required return > 100% (1182.75%)
2041,Goal B,Required return > 100% (1198.39%)
2041,Goal B,Required return > 100% (1214.03%)
2041,Goal B,Required return > 100% (1229.68%)
2041,Goal B,Required return > 100% (1245.32%)
2041,Goal B,Required return > 100% (1260.96%)
2041,Goal B,Required return > 100% (1276.61%)
2041,Goal B,Required return > 100% (1292.25%)
2041,Goal B,Required return > 100% (1307.89%)
2041,Goal B,Required return > 100% (1323.54%)
2041,Goal B,Required return > 100% (1339.18%)
2041,Goal B,Required return > 100% (1354.82%)
2041,Goal B,Required return > 100% (1370.47%)
2041,Goal B,Required return > 100% (1386.11%)
2041,Goal B,Required return > 100% (1401.75%)
2041,Goal B,Required return > 100% (1417.40%)
2041,Goal B,Required return > 100% (1433.04%)
2041,Goal B,Required return > 100% (1448.68%)
2041,Goal B,Required return > 100% (1464.32%)
2042,Goal C,Required return > 100% (187.43%)
2042,Goal C,Required return > 100% (128.14%)
2042,Goal B,Required return > 100% (101.06%)
2042,Goal B,Required return > 100% (105.21%)
2042,Goal B,Required return > 100% (109.27%)
2042,Goal B,Required return > 100% (113.26%)
2042,Goal B,Required return > 100% (117.17%)
2042,Goal B,Required return > 100% (121.01%)
2042,Goal B,Required return > 100% (124.79%)
2042,Goal B,Required return > 100% (128.51%)
2042,Goal B,Required return > 100% (132.17%)
2042,Goal B,Required return > 100% (135.76%)
2042,Goal B,Required return > 100% (139.31%)
2042,Goal B,Required return > 100% (142.80%)
2042,Goal B,Required return > 100% (146.25%)
2042,Goal B,Required return > 100% (149.65%)
2042,Goal B,Required return > 100% (153.00%)
2042,Goal B,Required return > 100% (156.30%)
2042,Goal B,Required return > 100% (159.57%)
2042,Goal B,Required return > 100% (162.79%)
2042,Goal B,Required return > 100% (165.98%)
2042,Goal B,Required return > 100% (169.13%)
2042,Goal B,Required return > 100% (172.24%)
2042,Goal B,Required return > 100% (175.31%)
