Year,Final Wealth,Path_ID
2025,0.0,0
2026,27888.229842124445,0
2027,72673.09842899002,0
2028,103707.46263735724,0
2029,128704.42333184797,0
2030,178945.1626536697,0
2031,203713.3390734106,0
2032,240838.97596829457,0
2033,324994.1293675034,0
2034,409082.99009362335,0
2035,446951.0445773054,0
2036,502387.3590355288,0
2037,540079.0943886307,0
2038,550798.1883346447,0
2039,630312.5910869135,0
2040,525025.4366109649,0
2041,632718.4378175827,0
2042,660055.3319279789,0
2043,844269.6483649866,0
2044,919464.3481140122,0
2045,945370.8692636158,0
2046,1000668.6446115898,0
2047,1043638.5231027689,0
2048,1064123.3786242828,0
2049,1187283.5967205928,0
2050,1220325.6502581744,0
2051,1255383.829541021,0
2052,1290101.5233049507,0
2053,1172119.1135440266,0
2054,1090695.8862609414,0
2055,1253280.1257237024,0
2056,1350939.9150851462,0
2057,1433180.348601843,0
2058,1320507.0440953982,0
2059,1459181.66691825,0
2060,1584995.7116687973,0
2061,1597422.724672307,0
2062,1671943.2979190303,0
2063,1588420.9121827555,0
2064,1670775.870076614,0
2065,1568544.6375632447,0
2066,1582091.886673338,0
2067,1542822.260283116,0
2068,1562279.1311215241,0
2069,1505100.394806546,0
2070,1566432.044491246,0
2071,1589889.9079741742,0
2072,1627538.4493835357,0
2073,1604604.5014105667,0
2074,397340.3893121579,0
2075,,0
2025,0.0,1
2026,32179.88880055288,1
2027,70215.89446161201,1
2028,94297.69108014778,1
2029,138163.1583871995,1
2030,193414.92421726743,1
2031,230770.6888836876,1
2032,269279.0082119522,1
2033,317266.03194641636,1
2034,369843.5963600247,1
2035,439678.30068352254,1
2036,474026.85931908444,1
2037,471487.40124942915,1
2038,509146.9015996981,1
2039,522250.8028586949,1
2040,542358.2375890755,1
2041,569289.1568801512,1
2042,688404.3227195011,1
2043,735888.4812121675,1
2044,862917.2972493614,1
2045,876724.3549482598,1
2046,981435.8984563961,1
2047,920256.5929068741,1
2048,957099.491703872,1
2049,882058.6472196857,1
2050,1003207.3749534942,1
2051,1011036.1904840285,1
2052,1073724.7680974172,1
2053,1030508.5067522003,1
2054,1105515.6853335868,1
2055,1334374.2589559555,1
2056,1402387.0202733793,1
2057,1464881.7565094556,1
2058,1600797.5892711987,1
2059,1610323.338497842,1
2060,1617247.505227922,1
2061,1753170.5868475426,1
2062,1832916.8256784244,1
2063,1857915.6450083666,1
2064,1906619.2565205176,1
2065,1986704.4185048607,1
2066,2047981.8700683878,1
2067,2114918.957097223,1
2068,2059754.918554482,1
2069,2058182.719364747,1
2070,1996129.0427768063,1
2071,2128233.1216663253,1
2072,2123258.356645003,1
2073,1934435.0506309457,1
2074,772452.2589276815,1
2075,,1
2025,0.0,2
2026,29308.559242581432,2
2027,53892.088307616956,2
2028,93979.75970821604,2
2029,114631.46451048137,2
2030,138348.52679455854,2
2031,154250.2749376574,2
2032,184951.53247514824,2
2033,223727.1445411397,2
2034,291304.0552554374,2
2035,361846.8673280796,2
2036,439893.3442983052,2
2037,478240.20870966715,2
2038,551923.448694568,2
2039,659268.3438409114,2
2040,731331.9555304854,2
2041,773759.3102789483,2
2042,836003.6014481985,2
2043,942748.3718237679,2
2044,876121.1037051312,2
2045,996300.9540099702,2
2046,996766.3685959977,2
2047,953023.7186318691,2
2048,1108519.6430640495,2
2049,1245286.72499277,2
2050,1250447.3240103414,2
2051,1276097.4754786263,2
2052,1290069.6088045628,2
2053,1241258.6288100132,2
2054,1285814.4249023234,2
2055,1227902.9978393111,2
2056,1208412.7178739875,2
2057,1270454.1304471672,2
2058,1361099.9072142525,2
2059,1380949.3128867755,2
2060,1366641.1496193865,2
2061,1351540.5967398873,2
2062,1516629.8276124385,2
2063,1619826.9844145034,2
2064,1548635.6851078577,2
2065,1530390.5298928022,2
2066,1477912.701887989,2
2067,1467023.4727069787,2
2068,1364693.1331641346,2
2069,1317221.8820024359,2
2070,1358216.215141866,2
2071,1381119.883712761,2
2072,1470600.6433939582,2
2073,1503383.7269827262,2
2074,164571.72718629707,2
2075,,2
