Year,Goal A (%),Goal B (%),Goal C (%),Goal D (%),Path_ID
2025,13.131313131313133,35.35353535353536,41.41414141414141,10.1010101010101,0
2026,94.05940594059405,3.9603960396039604,0.9900990099009901,0.9900990099009901,0
2027,91.0891089108911,5.9405940594059405,1.9801980198019802,0.9900990099009901,0
2028,92.07920792079209,1.9801980198019802,2.9702970297029703,2.9702970297029703,0
2029,95.04950495049505,0.9900990099009901,0.9900990099009901,2.9702970297029703,0
2030,97.95918367346938,0.0,1.0204081632653061,1.0204081632653061,0
2031,93.93939393939394,0.0,1.0101010101010102,5.05050505050505,0
2032,96.96969696969697,0.0,2.0202020202020203,1.0101010101010102,0
2033,98.0,0.0,1.0,1.0,0
2034,97.95918367346938,0.0,1.0204081632653061,1.0204081632653061,0
2035,98.94736842105263,0.0,0.0,1.0526315789473684,0
2036,98.0,0.0,0.0,2.0,0
2037,98.95833333333334,0.0,0.0,1.0416666666666665,0
2038,96.93877551020408,0.0,0.0,3.061224489795918,0
2039,98.95833333333334,0.0,0.0,1.0416666666666665,0
2040,100.0,0.0,0.0,0.0,0
2041,100.0,0.0,0.0,0.0,0
2042,100.0,0.0,0.0,0.0,0
2043,100.0,0.0,0.0,0.0,0
2044,100.0,0.0,0.0,0.0,0
2045,100.0,0.0,0.0,0.0,0
2046,100.0,0.0,0.0,0.0,0
2047,100.0,0.0,0.0,0.0,0
2048,100.0,0.0,0.0,0.0,0
2049,100.0,0.0,0.0,0.0,0
2050,100.0,0.0,0.0,0.0,0
2051,100.0,0.0,0.0,0.0,0
2052,100.0,0.0,0.0,0.0,0
2053,100.0,0.0,0.0,0.0,0
2054,100.0,0.0,0.0,0.0,0
2055,100.0,0.0,0.0,0.0,0
2056,100.0,0.0,0.0,0.0,0
2057,100.0,0.0,0.0,0.0,0
2058,100.0,0.0,0.0,0.0,0
2059,100.0,0.0,0.0,0.0,0
2060,100.0,0.0,0.0,0.0,0
2061,100.0,0.0,0.0,0.0,0
2062,100.0,0.0,0.0,0.0,0
2063,100.0,0.0,0.0,0.0,0
2064,100.0,0.0,0.0,0.0,0
2065,100.0,0.0,0.0,0.0,0
2066,100.0,0.0,0.0,0.0,0
2067,100.0,0.0,0.0,0.0,0
2068,100.0,0.0,0.0,0.0,0
