Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2025,Emerging Markets - Equities,0.13661401845232501,13.66,0.0
2025,Developed Markets - Equities,0.1669148924117537,16.69,0.0
2025,Emerging Markets State - Obligations,0.11063985831225784,11.06,0.0
2025,High Yield Bonds - Obligations,0.3173974065952544,31.74,0.0
2025,Investment Grade Bonds - Obligations,0.06904101708099664,6.9,0.0
2025,Government ZC Bonds - Obligations,0.1993928071474124,19.94,0.0
2026,Emerging Markets - Equities,0.9492728918769642,94.93,49974.66124744116
2026,Developed Markets - Equities,0.012225791343079783,1.22,643.6292304147039
2026,Emerging Markets State - Obligations,0.01237305151355669,1.24,651.3817715414947
2026,High Yield Bonds - Obligations,0.007027965188311588,0.7,369.98863293170126
2026,Investment Grade Bonds - Obligations,0.014848188776214754,1.48,781.685867761581
2026,Government ZC Bonds - Obligations,0.004252111301872897,0.43,223.85324990935905
2027,Emerging Markets - Equities,0.9344946452789165,93.45,57378.81310205141
2027,Developed Markets - Equities,0.019797812975787484,1.98,1215.6035524719634
2027,Emerging Markets State - Obligations,0.021247617485003988,2.12,1304.6228554600682
2027,High Yield Bonds - Obligations,0.007004693006299527,0.7,430.09446108248886
2027,Investment Grade Bonds - Obligations,0.006074186304782252,0.61,372.9605113201224
2027,Government ZC Bonds - Obligations,0.0113810449492102,1.14,698.8064130125322
2028,Emerging Markets - Equities,0.9648675320362546,96.49,66035.47110123698
2028,Developed Markets - Equities,0.011272687199747104,1.13,771.5019783505508
2028,Emerging Markets State - Obligations,0.0031467358352861323,0.31,215.36239578476798
2028,High Yield Bonds - Obligations,0.007139924799055689,0.71,488.65598859774997
2028,Investment Grade Bonds - Obligations,0.009651495503303138,0.97,660.5477241492929
2028,Government ZC Bonds - Obligations,0.00392162462635332,0.39,268.39573421745456
2029,Emerging Markets - Equities,0.9607114392796816,96.07,67452.59469891514
2029,Developed Markets - Equities,0.019881337168956778,1.99,1395.8902988972466
2029,Emerging Markets State - Obligations,0.0019071615976294913,0.19,133.90388935796477
2029,High Yield Bonds - Obligations,0.009594862951387235,0.96,673.665759967232
2029,Investment Grade Bonds - Obligations,0.0070781572164674835,0.71,496.96511399464094
2029,Government ZC Bonds - Obligations,0.0008270417858772592,0.08,58.06750299931145
2030,Emerging Markets - Equities,0.9632506652181712,96.33,68246.70956417764
2030,Developed Markets - Equities,0.0027317447153799405,0.27,193.54524728180274
2030,Emerging Markets State - Obligations,0.014497879490136171,1.45,1027.1807812722038
2030,High Yield Bonds - Obligations,0.002681467054413777,0.27,189.98305412749355
2030,Investment Grade Bonds - Obligations,0.005371165731233018,0.54,380.54932212011374
2030,Government ZC Bonds - Obligations,0.011467077790665829,1.15,812.447222501684
2031,Emerging Markets - Equities,0.9640740864576699,96.41,67205.81205245825
2031,Developed Markets - Equities,0.012852739067638654,1.29,895.9672065378527
2031,Emerging Markets State - Obligations,0.01019453117343096,1.02,710.6629621401095
2031,High Yield Bonds - Obligations,0.004684956751432829,0.47,326.589343426476
2031,Investment Grade Bonds - Obligations,0.00357621431719937,0.36,249.29866971542543
2031,Government ZC Bonds - Obligations,0.0046174722326282475,0.46,321.8849830967676
2032,Emerging Markets - Equities,0.9139883804348642,91.4,66891.24040956318
2032,Developed Markets - Equities,0.008324222162818397,0.83,609.2173137373723
2032,Emerging Markets State - Obligations,0.03431834641085618,3.43,2511.6257595474403
2032,High Yield Bonds - Obligations,0.02520990002105149,2.52,1845.0141370581503
2032,Investment Grade Bonds - Obligations,0.00927112470312621,0.93,678.5174129771677
2032,Government ZC Bonds - Obligations,0.008888026267283541,0.89,650.4799344697417
2033,Emerging Markets - Equities,0.9572692197698577,95.73,71425.96817693351
2033,Developed Markets - Equities,0.012504001345038786,1.25,932.9772478945806
2033,Emerging Markets State - Obligations,0.006893257592066906,0.69,514.3355570596394
2033,High Yield Bonds - Obligations,0.021786271868262007,2.18,1625.567321103896
2033,Investment Grade Bonds - Obligations,9.476164234867541e-05,0.01,7.070573158528678
2033,Government ZC Bonds - Obligations,0.001452487782425942,0.15,108.37635221352052
2034,Emerging Markets - Equities,0.9555648449170594,95.56,72835.30622412676
2034,Developed Markets - Equities,0.008393966629555773,0.84,639.8070556392872
2034,Emerging Markets State - Obligations,0.006920752044034489,0.69,527.5153194572114
2034,High Yield Bonds - Obligations,0.014550567790583935,1.46,1109.0770724765246
2034,Investment Grade Bonds - Obligations,0.011824290205590067,1.18,901.2740501999605
2034,Government ZC Bonds - Obligations,0.0027455784131761884,0.27,209.2741749026954
2035,Emerging Markets - Equities,0.984922237536427,98.49,76772.18173687512
2035,Developed Markets - Equities,0.002916503413630201,0.29,227.33401843732187
2035,Emerging Markets State - Obligations,0.002287322545745537,0.23,178.29097108423608
2035,High Yield Bonds - Obligations,0.0016943198928677345,0.17,132.06792351546804
2035,Investment Grade Bonds - Obligations,0.001116920705192424,0.11,87.06112634759158
2035,Government ZC Bonds - Obligations,0.007062695906136885,0.71,550.5191709494436
2036,Emerging Markets - Equities,0.9567282190493023,95.67,83014.50072108099
2036,Developed Markets - Equities,0.015167469999244393,1.52,1316.0685805216776
2036,Emerging Markets State - Obligations,0.015925908170705272,1.59,1381.8776210391602
2036,High Yield Bonds - Obligations,0.004460264414492399,0.45,387.01338173240447
2036,Investment Grade Bonds - Obligations,0.006210199760305987,0.62,538.8537959006429
2036,Government ZC Bonds - Obligations,0.0015079386059497785,0.15,130.842561135445
2037,Emerging Markets - Equities,0.9533444843234717,95.33,84648.26921737893
2037,Developed Markets - Equities,0.011314810984334768,1.13,1004.6517099486875
2037,Emerging Markets State - Obligations,0.017471928236356363,1.75,1551.347397942254
2037,High Yield Bonds - Obligations,0.00816340101099067,0.82,724.8353327371829
2037,Investment Grade Bonds - Obligations,0.005982755937996063,0.6,531.2139983279437
2037,Government ZC Bonds - Obligations,0.0037226195068505554,0.37,330.53455848477284
2038,Emerging Markets - Equities,0.9162792718644194,91.63,83371.29055724406
2038,Developed Markets - Equities,0.003927481859189005,0.39,357.35745781358503
2038,Emerging Markets State - Obligations,0.035628891506927315,3.56,3241.835494120064
2038,High Yield Bonds - Obligations,0.0064188891838113556,0.64,584.047998935278
2038,Investment Grade Bonds - Obligations,0.004049095374943652,0.4,368.42294414401124
2038,Government ZC Bonds - Obligations,0.03369637021070921,3.37,3065.997406931618
2039,Emerging Markets - Equities,0.9724503410093652,97.25,90126.58528612672
2039,Developed Markets - Equities,0.004235451697562225,0.42,392.5411741327528
2039,Emerging Markets State - Obligations,0.008537809230705544,0.85,791.2831733794956
2039,High Yield Bonds - Obligations,0.008157638377568102,0.82,756.0489826206882
2039,Investment Grade Bonds - Obligations,0.0015470028090388422,0.15,143.37604166193003
2039,Government ZC Bonds - Obligations,0.005071756875760087,0.51,470.04984145436066
2040,Emerging Markets - Equities,0.00024492830531119223,0.02,25.117780584100895
2040,Developed Markets - Equities,0.9612218494833956,96.12,98574.80325637282
2040,Emerging Markets State - Obligations,0.011334540579616888,1.13,1162.3748547097598
2040,High Yield Bonds - Obligations,0.009410178598192041,0.94,965.0285253322618
2040,Investment Grade Bonds - Obligations,0.009062168019012207,0.91,929.3394964236643
2040,Government ZC Bonds - Obligations,0.008726335014472189,0.87,894.8992968304894
2041,Emerging Markets - Equities,0.9503692950391883,95.04,99193.37017757593
2041,Developed Markets - Equities,0.0063269643061428064,0.63,660.3674127473306
2041,Emerging Markets State - Obligations,0.009394518031538084,0.94,980.5387333182343
2041,High Yield Bonds - Obligations,0.025688168100771316,2.57,2681.16402845121
2041,Investment Grade Bonds - Obligations,0.002218468503460904,0.22,231.54932365740657
2041,Government ZC Bonds - Obligations,0.0060025860188986,0.6,626.5109153918938
2042,Emerging Markets - Equities,0.00026524028533328594,0.03,28.04721739863007
2042,Developed Markets - Equities,0.9823562533749791,98.24,103876.97844123123
2042,Emerging Markets State - Obligations,0.0037772218077006432,0.38,399.4135395771705
2042,High Yield Bonds - Obligations,0.005108969753379824,0.51,540.2361303299621
2042,Investment Grade Bonds - Obligations,0.0028023186418639316,0.28,296.3246705523281
2042,Government ZC Bonds - Obligations,0.005689996136743151,0.57,601.6754145927359
2043,Emerging Markets - Equities,0.9774955583540145,97.75,104628.05902495098
2043,Developed Markets - Equities,0.005195576598268167,0.52,556.1182251381463
2043,Emerging Markets State - Obligations,0.004308652293158757,0.43,461.1846290183743
