,Final Wealth
2025,0.0
2026,8229.24889539859
2027,9419.401202336789
2028,10600.348206931556
2029,10643.568743708955
2030,8901.300305125154
2031,5688.199414755871
2032,6441.420720240542
2033,7367.650643598075
2034,8404.305661472772
2035,9576.260954242875
2036,10826.027550580637
2037,12244.478948307118
2038,13147.966859385615
2039,14271.134629863816
2040,15210.267724948844
2041,15687.810218826973
2042,16081.450035352605
2043,16646.308356043137
2044,18559.000527772976
2045,18691.46891193096
2046,19091.78965076356
2047,18756.89133989609
2048,20406.847255897577
2049,20395.24299991854
2050,21230.64515037686
2051,21475.408481856066
2052,21287.62086165971
2053,4189.355390936056
2054,311.46810501963046
2055,5346.971202282847
2056,2298.779047058675
2057,5779.508912453885
2058,11151.922358273929
2059,6313.105921070107
2060,4892.298477277902
2061,5766.825454660047
2062,2533.3473127698862
2063,4506.43434152661
2064,9746.803366331098
2065,2878.5385428933187
2066,1094.6414167098037
2067,6061.359529504886
2068,5760.821617836571
2069,6697.827206778431
2070,12307.060806692913
2071,561.3911372214894
2072,3.6813898278720387
2073,0.08798252631589137
2074,0.0
2075,0.0
