Year,Goal A (%),Goal B (%),Goal C (%),Goal D (%)
2025,35.0,5.0,23.0,37.0
2026,94.0,1.0,2.0,3.0
2027,92.0,1.0,4.0,3.0
2028,95.0,1.0,1.0,3.0
2029,94.0,3.0,1.0,2.0
2030,95.95959595959596,0.0,3.0303030303030303,1.0101010101010102
2031,96.96969696969697,0.0,1.0101010101010102,2.0202020202020203
2032,96.84210526315789,0.0,2.1052631578947367,1.0526315789473684
2033,95.91836734693877,0.0,1.0204081632653061,3.061224489795918
2034,96.93877551020408,0.0,1.0204081632653061,2.0408163265306123
2035,99.0,0.0,0.0,1.0
2036,98.95833333333334,0.0,0.0,1.0416666666666665
2037,98.95833333333334,0.0,0.0,1.0416666666666665
2038,98.9247311827957,0.0,0.0,1.0752688172043012
2039,98.9795918367347,0.0,0.0,1.0204081632653061
2040,100.0,0.0,0.0,0.0
2041,100.0,0.0,0.0,0.0
2042,100.0,0.0,0.0,0.0
2043,100.0,0.0,0.0,0.0
2044,100.0,0.0,0.0,0.0
2045,100.0,0.0,0.0,0.0
2046,100.0,0.0,0.0,0.0
2047,100.0,0.0,0.0,0.0
2048,100.0,0.0,0.0,0.0
2049,100.0,0.0,0.0,0.0
2050,100.0,0.0,0.0,0.0
2051,100.0,0.0,0.0,0.0
2052,100.0,0.0,0.0,0.0
2053,100.0,0.0,0.0,0.0
2054,100.0,0.0,0.0,0.0
2055,100.0,0.0,0.0,0.0
2056,100.0,0.0,0.0,0.0
2057,100.0,0.0,0.0,0.0
2058,100.0,0.0,0.0,0.0
2059,100.0,0.0,0.0,0.0
2060,100.0,0.0,0.0,0.0
2061,100.0,0.0,0.0,0.0
2062,100.0,0.0,0.0,0.0
2063,100.0,0.0,0.0,0.0
2064,100.0,0.0,0.0,0.0
2065,100.0,0.0,0.0,0.0
2066,100.0,0.0,0.0,0.0
2067,100.0,0.0,0.0,0.0
2068,100.0,0.0,0.0,0.0
2069,100.0,0.0,0.0,0.0
2070,100.0,0.0,0.0,0.0
2071,100.0,0.0,0.0,0.0
2072,100.0,0.0,0.0,0.0
2073,100.0,0.0,0.0,0.0
2074,100.0,0.0,0.0,0.0
2075,0.0,0.0,0.0,0.0
