,Year,Gross_Salary_DKK,Ratepension_Contribution,Aldersopsparing_Contribution,Ratepension_Balance,Aldersopsparing_Balance
0,2025,43871.0,6580.650000000001,9400,6580.650000000001,14920.63492063492
1,2026,45187.130000000005,6778.069500000001,9400,12773.255942352942,30634.22844693433
2,2027,49253.97170000001,7388.095755000002,9400,19886.290932689284,47182.922441737304
3,2028,50731.59085100001,7609.738627650002,9400,27579.913803513424,64611.09840131506
4,2029,52253.53857653001,7838.030786479502,9400,35891.24768215216,82965.49648090928
5,2030,53821.14473382591,8073.171710073888,9400,44859.58045558537,102295.34084589433
6,2031,58665.04775987025,8799.75716398054,9400,55010.875951148475,122652.47168473928
7,2032,60424.99919266636,9063.749878899955,9400,65945.0051865732,144091.4842378118
8,2033,62237.749168446346,9335.662375266953,9400,77711.07870777257,166669.8752148813
9,2034,64104.881643499735,9615.732246524962,9400,90361.04637865261,190448.1969939949
10,2035,69874.32099141472,10481.14814871221,9400,104526.79917433568,215490.22001526752
11,2036,71970.55062115716,10795.582593173576,9400,119737.47389517102,241863.10380510596
12,2037,74129.66713979188,11119.450070968784,9400,136057.5889958393,269637.5770895322
13,2038,76353.55715398565,11453.03357309785,9400,153555.36582048438,298888.1274796469
14,2039,83225.37729784436,12483.806594676656,9400,172990.11571843005,329693.2012379452
15,2040,85722.13861677969,12858.320792516955,9400,193808.0460695558,362135.41366123356
16,2041,88293.80277528308,13244.070416292465,9400,216093.41765191994,396301.7706443666
17,2042,90942.61685854157,13641.392528781238,9400,239935.29667549627,432283.90201901115
18,2043,99127.4523758103,14869.117856371548,9400,266246.3036373711,470178.30729322106
19,2044,102101.27594708462,15315.191392062696,9400,294375.4952642487,510086.61445086665
20,2045,105164.31422549716,15774.647133824576,9400,324432.35756617103,552115.8525049845
21,2046,108319.24365226208,16247.886547839315,9400,356532.58618813375,596378.7385360019
22,2047,118067.97558096566,17710.19633714485,9400,391773.30144908093,642993.9799846363
23,2048,121610.01484839464,18241.5022272592,9400,429389.8450611908,692086.5930101802
24,2049,125258.31529384648,18788.747294076973,9400,469523.8528556842,743788.2377679679
25,2050,129016.06475266187,19352.409712899283,9400,512324.95474969683,798237.5715051969
26,2051,132886.54669524173,19932.982004286263,9400,557951.2137112272,855580.6204220608
27,2052,136873.143096099,20530.97146441485,9400,606569.5884787419,915971.171295479
28,2053,140979.33738898198,21146.9006083473,9400,658356.4213107025,979571.1839157074
29,2054,145208.71751065145,21781.30762659772,9400,713497.9521084345,1046551.2254419331
30,2055,149564.979035971,22434.746855395653,9400,772190.8603275589,1117090.927841741
31,2056,154051.92840705012,23107.78926105752,9400,834642.8361688203,1191379.4696412436
32,2057,158673.4862592616,23801.022938889244,9400,901073.182618802,1269616.0832778711
33,2058,163433.69084703946,24515.05362705592,9400,971713.4499949173,1352010.5894164736
34,2059,168336.70157245063,25250.5052358676,9400,1046808.1047374298,1438783.959661705
35,2060,183487.0047139712,27523.050707095685,9400,1128130.264598495,1530168.9091758123
36,2061,188991.61485539033,28348.742228308554,9400,1214563.3179353392,1626410.5207911555
37,2062,194661.36330105204,29199.20449515781,9400,1306402.9209843567,1727766.9022912483
38,2063,200501.20420008362,30075.180630012546,9400,1403961.1711150988,1834509.8786230637
39,2064,206516.24032608615,30977.436048912925,9400,1507567.5025961997,1946925.720897031
40,2065,212711.72753586873,31906.759130380313,9400,1617569.6306298154,2065315.9141298092
41,2066,219093.0793619448,32863.961904291726,9400,1734334.5462397516,2189997.965788825
42,2067,225665.87174280317,33849.88076142048,9400,1858249.5647364587,2321306.2573069897
43,2068,232435.84789508727,34865.377184263096,9400,1989723.4306273987,2459592.9408512493
44,2069,239408.92333193988,35911.33849979099,9400,2129187.481994384,2605228.8837499865
