,Year,Ratepension_Income,Aldersopsparing_Withdrawal,,Total,
0,2070,85167.49928,104209.1553," 2,605,228.88 "," 153,606.30 ",49397.14958
1,2071,86870.84927,104209.1553,," 154,594.25 ",50385.09257
2,2072,88608.26625,104209.1553,," 155,601.95 ",51392.79443
3,2073,90380.43158,104209.1553,," 156,629.81 ",52420.65031
4,2074,92188.04021,104209.1553,," 157,678.22 ",53469.06332
5,2075,94031.80101,104209.1553,," 158,747.60 ",54538.44459
6,2076,95912.43703,104209.1553,," 159,838.37 ",55629.21348
7,2077,97830.68577,104209.1553,," 160,950.95 ",56741.79775
8,2078,99787.29949,104209.1553,," 162,085.79 ",57876.6337
9,2079,101783.0455,104209.1553,," 163,243.32 ",59034.16638
10,2080,103818.7064,104209.1553,," 164,424.01 ",60214.8497
11,2081,105895.0805,104209.1553,," 165,628.30 ",61419.1467
12,2082,108012.9821,104209.1553,," 166,856.68 ",62647.52963
13,2083,110173.2418,104209.1553,," 168,109.64 ",63900.48023
14,2084,112376.7066,104209.1553,," 169,387.65 ",65178.48983
15,2085,114624.2407,104209.1553,," 170,691.21 ",66482.05963
16,2086,116916.7255,104209.1553,," 172,020.86 ",67811.70082
17,2087,119255.0601,104209.1553,," 173,377.09 ",69167.93484
18,2088,121640.1613,104209.1553,," 174,760.45 ",70551.29353
19,2089,124072.9645,104209.1553,," 176,171.47 ",71962.3194
20,2090,126554.4238,104209.1553,," 177,610.72 ",73401.56579
21,2091,129085.5123,104209.1553,," 179,078.75 ",74869.59711
22,2092,131667.2225,104209.1553,," 180,576.14 ",76366.98905
23,2093,134300.5669,104209.1553,," 182,103.48 ",77894.32883
24,2094,136986.5783,104209.1553,," 183,661.37 ",79452.21541
