Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID,source_folder
2025,Emerging Markets - Equities,0.2032575825006405,20.33,0.0,0,P1_outputs_path_0_to_50
2025,Developed Markets - Equities,0.1934590017938861,19.35,0.0,0,P1_outputs_path_0_to_50
2025,Emerging Markets State - Obligations,0.1638620537071353,16.39,0.0,0,P1_outputs_path_0_to_50
2025,High Yield Bonds - Obligations,0.0839036104499777,8.39,0.0,0,P1_outputs_path_0_to_50
2025,Investment Grade Bonds - Obligations,0.3023749351109791,30.24,0.0,0,P1_outputs_path_0_to_50
2025,Government ZC Bonds - Obligations,0.0531428164373812,5.31,0.0,0,P1_outputs_path_0_to_50
2026,Emerging Markets - Equities,0.98209706087651,98.21,55580.52084474908,0,P1_outputs_path_0_to_50
2026,Developed Markets - Equities,0.0025269406698521,0.25,143.00895926601206,0,P1_outputs_path_0_to_50
2026,Emerging Markets State - Obligations,0.0041352328289512,0.41,234.0281868294046,0,P1_outputs_path_0_to_50
2026,High Yield Bonds - Obligations,0.0054284510460412,0.54,307.2162096177291,0,P1_outputs_path_0_to_50
2026,Investment Grade Bonds - Obligations,0.0047808813546605,0.48,270.56783527264287,0,P1_outputs_path_0_to_50
2026,Government ZC Bonds - Obligations,0.0010314332239847,0.1,58.37263758277213,0,P1_outputs_path_0_to_50
2027,Emerging Markets - Equities,0.1732762872412273,17.33,16296.513325373324,0,P1_outputs_path_0_to_50
2027,Developed Markets - Equities,0.004087432965153,0.41,384.4202045398951,0,P1_outputs_path_0_to_50
2027,Emerging Markets State - Obligations,0.0086507433361863,0.87,813.5963454496394,0,P1_outputs_path_0_to_50
2027,High Yield Bonds - Obligations,0.0096767198964037,0.97,910.0887215924176,0,P1_outputs_path_0_to_50
2027,Investment Grade Bonds - Obligations,0.0076779520714515,0.77,722.106009057065,0,P1_outputs_path_0_to_50
2027,Government ZC Bonds - Obligations,0.796630864489578,79.66,74922.57426132812,0,P1_outputs_path_0_to_50
2028,Emerging Markets - Equities,0.5365845736541415,53.66,85906.46337859042,0,P1_outputs_path_0_to_50
2028,Developed Markets - Equities,0.0030893066975046,0.31,494.5938174612406,0,P1_outputs_path_0_to_50
2028,Emerging Markets State - Obligations,0.0010507198125448,0.11,168.21881867167167,0,P1_outputs_path_0_to_50
2028,High Yield Bonds - Obligations,0.0021274887597422,0.21,340.6080685147676,0,P1_outputs_path_0_to_50
2028,Investment Grade Bonds - Obligations,0.0013785868551328,0.14,220.70988805767453,0,P1_outputs_path_0_to_50
2028,Government ZC Bonds - Obligations,0.4557693242209339,45.58,72968.05141757053,0,P1_outputs_path_0_to_50
2029,Emerging Markets - Equities,0.6644290643234602,66.44,148623.53578762722,0,P1_outputs_path_0_to_50
2029,Developed Markets - Equities,0.0025201514473815,0.25,563.7228094642894,0,P1_outputs_path_0_to_50
2029,Emerging Markets State - Obligations,0.001360533399777,0.14,304.3323889479778,0,P1_outputs_path_0_to_50
2029,High Yield Bonds - Obligations,0.0017790648475418,0.18,397.9520497141079,0,P1_outputs_path_0_to_50
2029,Investment Grade Bonds - Obligations,0.000851201117918,0.09,190.40184513928472,0,P1_outputs_path_0_to_50
2029,Government ZC Bonds - Obligations,0.3290599848639211,32.91,73606.1395605813,0,P1_outputs_path_0_to_50
2030,Emerging Markets - Equities,0.7317574862045853,73.18,205877.38899640096,0,P1_outputs_path_0_to_50
2030,Developed Markets - Equities,0.0025437767831417,0.25,715.6826300735287,0,P1_outputs_path_0_to_50
2030,Emerging Markets State - Obligations,0.002668413228405,0.27,750.7486545534317,0,P1_outputs_path_0_to_50
2030,High Yield Bonds - Obligations,0.0009991818054533,0.1,281.1162784359111,0,P1_outputs_path_0_to_50
2030,Investment Grade Bonds - Obligations,0.0003534292512793,0.04,99.436073863405,0,P1_outputs_path_0_to_50
2030,Government ZC Bonds - Obligations,0.2616777127271352,26.17,73622.10195380343,0,P1_outputs_path_0_to_50
2031,Emerging Markets - Equities,0.7840918262455661,78.41,277079.97545798006,0,P1_outputs_path_0_to_50
2031,Developed Markets - Equities,0.0011299069887608,0.11,399.2830816955862,0,P1_outputs_path_0_to_50
2031,Emerging Markets State - Obligations,0.0020426949153508,0.2,721.841292140054,0,P1_outputs_path_0_to_50
2031,High Yield Bonds - Obligations,0.0016918563216459,0.17,597.8630211268907,0,P1_outputs_path_0_to_50
2031,Investment Grade Bonds - Obligations,0.001960746483827,0.2,692.8826056247833,0,P1_outputs_path_0_to_50
2031,Government ZC Bonds - Obligations,0.2090829690448493,20.91,73885.10119921181,0,P1_outputs_path_0_to_50
2032,Emerging Markets - Equities,0.8443836820756462,84.44,431528.3906032568,0,P1_outputs_path_0_to_50
2032,Developed Markets - Equities,0.0011294389716165,0.11,577.2079589555746,0,P1_outputs_path_0_to_50
2032,Emerging Markets State - Obligations,0.0016458403256986,0.16,841.1186075894212,0,P1_outputs_path_0_to_50
2032,High Yield Bonds - Obligations,0.0019246911609234,0.19,983.627344668677,0,P1_outputs_path_0_to_50
2032,Investment Grade Bonds - Obligations,0.0004185029940467,0.04,213.87898335468373,0,P1_outputs_path_0_to_50
2032,Government ZC Bonds - Obligations,0.1504978444720682,15.05,76913.01240526895,0,P1_outputs_path_0_to_50
2033,Emerging Markets - Equities,0.8447868998175807,84.48,450162.61772142927,0,P1_outputs_path_0_to_50
2033,Developed Markets - Equities,0.0041552068842601,0.42,2214.190121315282,0,P1_outputs_path_0_to_50
2033,Emerging Markets State - Obligations,0.0032234911225221,0.32,1717.7056157354084,0,P1_outputs_path_0_to_50
2033,High Yield Bonds - Obligations,0.0022590410283316,0.23,1203.777926804367,0,P1_outputs_path_0_to_50
2033,Investment Grade Bonds - Obligations,0.0023138854317684,0.23,1233.002930439975,0,P1_outputs_path_0_to_50
2033,Government ZC Bonds - Obligations,0.1432614757155368,14.33,76339.91594882321,0,P1_outputs_path_0_to_50
2034,Emerging Markets - Equities,0.8609332654703834,86.09,508952.5861777706,0,P1_outputs_path_0_to_50
2034,Developed Markets - Equities,0.0009003064424781,0.09,532.2285833634237,0,P1_outputs_path_0_to_50
2034,Emerging Markets State - Obligations,0.0026625200529878,0.27,1573.9854888496693,0,P1_outputs_path_0_to_50
2034,High Yield Bonds - Obligations,0.0014170468762615,0.14,837.7068250631444,0,P1_outputs_path_0_to_50
2034,Investment Grade Bonds - Obligations,0.0028158914615265,0.28,1664.653114497558,0,P1_outputs_path_0_to_50
2034,Government ZC Bonds - Obligations,0.1312709696963624,13.13,77602.64610117536,0,P1_outputs_path_0_to_50
