Year,Final Wealth,Path_ID,source_folder
2025,185694.9788240331,0,P2_outputs_path_0_to_50
2026,211700.66522566276,0,P2_outputs_path_0_to_50
2027,375544.85556230845,0,P2_outputs_path_0_to_50
2028,486965.1879172069,0,P2_outputs_path_0_to_50
2029,517271.748873608,0,P2_outputs_path_0_to_50
2030,646641.7364695991,0,P2_outputs_path_0_to_50
2031,710767.9059519036,0,P2_outputs_path_0_to_50
2032,800935.3509882424,0,P2_outputs_path_0_to_50
2033,886756.6236324357,0,P2_outputs_path_0_to_50
2034,325333.0863551067,0,P2_outputs_path_0_to_50
2035,476587.1961081813,0,P2_outputs_path_0_to_50
2036,502623.10288188106,0,P2_outputs_path_0_to_50
2037,689411.6469387801,0,P2_outputs_path_0_to_50
2038,1007487.98738549,0,P2_outputs_path_0_to_50
2039,1034663.1275243944,0,P2_outputs_path_0_to_50
2040,882826.1645698836,0,P2_outputs_path_0_to_50
2041,968269.8236769006,0,P2_outputs_path_0_to_50
2042,1104261.641412601,0,P2_outputs_path_0_to_50
2043,1042961.5317968338,0,P2_outputs_path_0_to_50
2044,1248093.649034228,0,P2_outputs_path_0_to_50
2045,1402323.0633440532,0,P2_outputs_path_0_to_50
2046,1865278.2309897577,0,P2_outputs_path_0_to_50
2047,1782858.123780673,0,P2_outputs_path_0_to_50
2048,2211668.369108564,0,P2_outputs_path_0_to_50
2049,2601823.842199487,0,P2_outputs_path_0_to_50
2050,2617221.814816126,0,P2_outputs_path_0_to_50
2051,2703344.842319885,0,P2_outputs_path_0_to_50
2052,2899181.456995604,0,P2_outputs_path_0_to_50
2053,3516128.230901802,0,P2_outputs_path_0_to_50
2054,3336432.627494219,0,P2_outputs_path_0_to_50
2055,3551798.7421607487,0,P2_outputs_path_0_to_50
2056,2858810.3441675035,0,P2_outputs_path_0_to_50
2057,3012477.4352591736,0,P2_outputs_path_0_to_50
2058,3320110.581936207,0,P2_outputs_path_0_to_50
2059,0.0,0,P2_outputs_path_0_to_50
2060,142499.32174493332,0,P2_outputs_path_0_to_50
2061,152453.80363054332,0,P2_outputs_path_0_to_50
2062,156805.45639082,0,P2_outputs_path_0_to_50
2063,166488.77442280317,0,P2_outputs_path_0_to_50
2064,154881.3239067228,0,P2_outputs_path_0_to_50
2065,150073.42957379113,0,P2_outputs_path_0_to_50
2066,145774.3551419711,0,P2_outputs_path_0_to_50
2067,151848.1099196994,0,P2_outputs_path_0_to_50
2068,141039.77154325086,0,P2_outputs_path_0_to_50
2069,141675.59936866065,0,P2_outputs_path_0_to_50
2070,175602.32876109148,0,P2_outputs_path_0_to_50
2071,177838.414867758,0,P2_outputs_path_0_to_50
2072,183203.9031255108,0,P2_outputs_path_0_to_50
2073,172263.79023908835,0,P2_outputs_path_0_to_50
2074,179504.50873393257,0,P2_outputs_path_0_to_50
2075,,0,P2_outputs_path_0_to_50
2025,220953.22702550012,1,P2_outputs_path_0_to_50
2026,343200.37032927765,1,P2_outputs_path_0_to_50
2027,449483.9212184151,1,P2_outputs_path_0_to_50
2028,527016.6155766224,1,P2_outputs_path_0_to_50
2029,517325.5755279582,1,P2_outputs_path_0_to_50
2030,633310.845280216,1,P2_outputs_path_0_to_50
2031,769651.3457990326,1,P2_outputs_path_0_to_50
2032,876425.3761444375,1,P2_outputs_path_0_to_50
2033,975899.7188359122,1,P2_outputs_path_0_to_50
2034,400255.8160660919,1,P2_outputs_path_0_to_50
2035,499512.68104292726,1,P2_outputs_path_0_to_50
2036,727657.0213109399,1,P2_outputs_path_0_to_50
2037,939481.542990363,1,P2_outputs_path_0_to_50
2038,750467.4345981336,1,P2_outputs_path_0_to_50
2039,1090375.418259925,1,P2_outputs_path_0_to_50
2040,1299225.5624338037,1,P2_outputs_path_0_to_50
2041,1081394.6053916204,1,P2_outputs_path_0_to_50
2042,1413370.2832500604,1,P2_outputs_path_0_to_50
2043,1356505.021135922,1,P2_outputs_path_0_to_50
2044,1709876.2031599556,1,P2_outputs_path_0_to_50
2045,2533454.005946577,1,P2_outputs_path_0_to_50
2046,3137602.601545955,1,P2_outputs_path_0_to_50
2047,2923033.9388166484,1,P2_outputs_path_0_to_50
2048,3110634.9033337818,1,P2_outputs_path_0_to_50
2049,3447546.9900525548,1,P2_outputs_path_0_to_50
2050,3624096.5443241103,1,P2_outputs_path_0_to_50
2051,3540460.195696892,1,P2_outputs_path_0_to_50
2052,3769387.268095808,1,P2_outputs_path_0_to_50
2053,4059111.484635207,1,P2_outputs_path_0_to_50
2054,3682191.653756202,1,P2_outputs_path_0_to_50
2055,3852838.0758342864,1,P2_outputs_path_0_to_50
2056,4443916.046729326,1,P2_outputs_path_0_to_50
2057,4419645.310267958,1,P2_outputs_path_0_to_50
2058,4476955.730416606,1,P2_outputs_path_0_to_50
2059,45144.90985207632,1,P2_outputs_path_0_to_50
2060,213978.2703221787,1,P2_outputs_path_0_to_50
2061,232647.21562452943,1,P2_outputs_path_0_to_50
2062,231191.72794659247,1,P2_outputs_path_0_to_50
2063,238700.2144650624,1,P2_outputs_path_0_to_50
2064,210261.81477372945,1,P2_outputs_path_0_to_50
2065,224144.27830494425,1,P2_outputs_path_0_to_50
2066,231427.71796903457,1,P2_outputs_path_0_to_50
2067,247880.85465420305,1,P2_outputs_path_0_to_50
2068,237878.67937645785,1,P2_outputs_path_0_to_50
2069,243506.44148622523,1,P2_outputs_path_0_to_50
2070,234321.4435042236,1,P2_outputs_path_0_to_50
2071,243741.31135538573,1,P2_outputs_path_0_to_50
2072,255044.82860118916,1,P2_outputs_path_0_to_50
2073,216558.18223219347,1,P2_outputs_path_0_to_50
2074,230478.09094546677,1,P2_outputs_path_0_to_50
2075,,1,P2_outputs_path_0_to_50
2025,188732.96593954173,2,P2_outputs_path_0_to_50
2026,264298.99279955577,2,P2_outputs_path_0_to_50
2027,393193.04123498,2,P2_outputs_path_0_to_50
2028,562846.0953627483,2,P2_outputs_path_0_to_50
2029,481629.760022308,2,P2_outputs_path_0_to_50
