Year,Path_ID,Asset,Weight,Allocation (%),Invested Amt (DKK)
2025,0,Emerging Markets - Equities,0.608531551,60.85,121706.3102
2025,0,Developed Markets - Equities,0.003871966,0.39,774.3932138
2025,0,Emerging Markets State - Obligations,0.003976236,0.4,795.2471958
2025,0,High Yield Bonds - Obligations,0.002431312,0.24,486.2623689
2025,0,Investment Grade Bonds - Obligations,0.004126079,0.41,825.2157501
2025,0,Government ZC Bonds - Obligations,0.377062856,37.71,75412.57125
2026,0,Emerging Markets - Equities,0.688398467,68.84,191655.4935
2026,0,Developed Markets - Equities,0.003151505,0.32,877.4034795
2026,0,Emerging Markets State - Obligations,0.006376336,0.64,1775.221562
2026,0,High Yield Bonds - Obligations,0.003220592,0.32,896.6379715
2026,0,Investment Grade Bonds - Obligations,0.005214247,0.52,1451.686907
2026,0,Government ZC Bonds - Obligations,0.293638853,29.36,81751.34329
2027,0,Emerging Markets - Equities,0.706440043,70.64,215568.0992
2027,0,Developed Markets - Equities,0.003135009,0.31,956.6386465
2027,0,Emerging Markets State - Obligations,0.000164553,0.02,50.21286359
2027,0,High Yield Bonds - Obligations,0.005297288,0.53,1616.451765
2027,0,Investment Grade Bonds - Obligations,0.005728469,0.57,1748.025333
2027,0,Government ZC Bonds - Obligations,0.279234639,27.92,85207.62803
2028,0,Emerging Markets - Equities,0.810730005,81.07,383228.7
2028,0,Developed Markets - Equities,0.000548391,0.05,259.2219314
2028,0,Emerging Markets State - Obligations,0.001887214,0.19,892.0783175
2028,0,High Yield Bonds - Obligations,0.006540647,0.65,3091.736558
2028,0,Investment Grade Bonds - Obligations,0.002245232,0.22,1061.311617
2028,0,Government ZC Bonds - Obligations,0.178048512,17.8,84162.79083
2029,0,Emerging Markets - Equities,0.863916771,86.39,505299.8533
2029,0,Developed Markets - Equities,0.003099943,0.31,1813.138528
2029,0,Emerging Markets State - Obligations,1.92E-05,0,11.25864975
2029,0,High Yield Bonds - Obligations,0.000999411,0.1,584.549641
2029,0,Investment Grade Bonds - Obligations,0.003176742,0.32,1858.057847
2029,0,Government ZC Bonds - Obligations,0.128787884,12.88,75327.27817
2030,0,Emerging Markets - Equities,0.984617018,98.46,606510.7332
2030,0,Developed Markets - Equities,0.000220881,0.02,136.0597214
2030,0,Emerging Markets State - Obligations,0.002558283,0.26,1575.86793
2030,0,High Yield Bonds - Obligations,0.003573553,0.36,2201.260298
2030,0,Investment Grade Bonds - Obligations,0.005196078,0.52,3200.713872
2030,0,Government ZC Bonds - Obligations,0.003834185,0.38,2361.806273
2031,0,Emerging Markets - Equities,0.002473941,0.25,1845.931109
2031,0,Developed Markets - Equities,0.003783051,0.38,2822.723585
2031,0,Emerging Markets State - Obligations,0.007494324,0.75,5591.889999
2031,0,High Yield Bonds - Obligations,0.008180061,0.82,6103.552468
2031,0,Investment Grade Bonds - Obligations,0.009076448,0.91,6772.392306
2031,0,Government ZC Bonds - Obligations,0.968992175,96.9,723013.541
2032,0,Emerging Markets - Equities,0.05739158,5.74,46733.03919
2032,0,Developed Markets - Equities,0.011502009,1.15,9365.900421
2032,0,Emerging Markets State - Obligations,0.018219599,1.82,14835.92592
2032,0,High Yield Bonds - Obligations,0.00821751,0.82,6691.386016
2032,0,Investment Grade Bonds - Obligations,0.00048708,0.05,396.6214059
2032,0,Government ZC Bonds - Obligations,0.904182222,90.42,736261.0153
2033,0,Emerging Markets - Equities,0.170556517,17.06,154403.6124
2033,0,Developed Markets - Equities,0.014948779,1.49,13533.02386
2033,0,Emerging Markets State - Obligations,0.007218287,0.72,6534.664743
2033,0,High Yield Bonds - Obligations,0.009241816,0.92,8366.55128
2033,0,Investment Grade Bonds - Obligations,0.004093483,0.41,3705.801229
2033,0,Government ZC Bonds - Obligations,0.793941117,79.39,718749.2943
2034,0,Emerging Markets - Equities,0.272912037,27.29,270718.9843
2034,0,Developed Markets - Equities,0.002479175,0.25,2459.253265
2034,0,Emerging Markets State - Obligations,0.001146997,0.11,1137.7799
2034,0,High Yield Bonds - Obligations,0.002422892,0.24,2403.422069
2034,0,Investment Grade Bonds - Obligations,0.000762019,0.08,755.895475
2034,0,Government ZC Bonds - Obligations,0.72027688,72.03,714488.9161
2035,0,Emerging Markets - Equities,0.97554736,97.55,420850.3942
2035,0,Developed Markets - Equities,0.006294553,0.63,2715.46552
2035,0,Emerging Markets State - Obligations,0.005650258,0.57,2437.517218
2035,0,High Yield Bonds - Obligations,0.002316445,0.23,999.312535
2035,0,Investment Grade Bonds - Obligations,0.003944785,0.39,1701.77736
2035,0,Government ZC Bonds - Obligations,0.006246599,0.62,2694.777959
2036,0,Emerging Markets - Equities,0.943395255,94.34,553762.5772
2036,0,Developed Markets - Equities,0.001237734,0.12,726.536432
2036,0,Emerging Markets State - Obligations,0.011747227,1.17,6895.492149
2036,0,High Yield Bonds - Obligations,0.017078481,1.71,10024.87926
2036,0,Investment Grade Bonds - Obligations,0.016218174,1.62,9519.888543
2036,0,Government ZC Bonds - Obligations,0.010323129,1.03,6059.562375
2037,0,Emerging Markets - Equities,0.946754552,94.68,581246.0538
2037,0,Developed Markets - Equities,0.014269088,1.43,8760.297087
2037,0,Emerging Markets State - Obligations,0.01049539,1.05,6443.490698
2037,0,High Yield Bonds - Obligations,0.01520658,1.52,9335.856416
2037,0,Investment Grade Bonds - Obligations,0.002061722,0.21,1265.764153
2037,0,Government ZC Bonds - Obligations,0.011212668,1.12,6883.852713
2038,0,Emerging Markets - Equities,0.954724913,95.47,765348.9596
2038,0,Developed Markets - Equities,0.011141595,1.11,8931.5863
2038,0,Emerging Markets State - Obligations,0.012334549,1.23,9887.910567
2038,0,High Yield Bonds - Obligations,0.00700028,0.7,5611.72846
2038,0,Investment Grade Bonds - Obligations,0.001103331,0.11,884.4783185
2038,0,Government ZC Bonds - Obligations,0.013695331,1.37,10978.77244
2039,0,Emerging Markets - Equities,0.9429754,94.3,1060247.252
2039,0,Developed Markets - Equities,0.013573929,1.36,15262.03229
2039,0,Emerging Markets State - Obligations,0.012103289,1.21,13608.49844
2039,0,High Yield Bonds - Obligations,0.019683939,1.97,22131.90523
2039,0,Investment Grade Bonds - Obligations,0.010976025,1.1,12341.04351
2039,0,Government ZC Bonds - Obligations,0.000687418,0.07,772.9075574
2040,0,Emerging Markets - Equities,0.941558945,94.16,1085159.857
2040,0,Developed Markets - Equities,0.010587561,1.06,12202.3126
2040,0,Emerging Markets State - Obligations,0.012390273,1.24,14279.96297
2040,0,High Yield Bonds - Obligations,0.007690398,0.77,8863.291691
2040,0,Investment Grade Bonds - Obligations,0.012553333,1.26,14467.8916
2040,0,Government ZC Bonds - Obligations,0.01521949,1.52,17540.67489
2041,0,Emerging Markets - Equities,0.965733988,96.57,967339.0289
2041,0,Developed Markets - Equities,0.004786273,0.48,4794.22778
2041,0,Emerging Markets State - Obligations,0.00265033,0.27,2654.73516
2041,0,High Yield Bonds - Obligations,0.012610742,1.26,12631.70134
2041,0,Investment Grade Bonds - Obligations,0.010884244,1.09,10902.33388
2041,0,Government ZC Bonds - Obligations,0.003334422,0.33,3339.963813
2042,0,Emerging Markets - Equities,0.946177545,94.62,1029536.225
2042,0,Developed Markets - Equities,0.015144755,1.51,16479.01494
2042,0,Emerging Markets State - Obligations,0.011809359,1.18,12849.7686
2042,0,High Yield Bonds - Obligations,0.004165724,0.42,4532.7267
2042,0,Investment Grade Bonds - Obligations,0.018240334,1.82,19847.31622
2042,0,Government ZC Bonds - Obligations,0.004462282,0.45,4855.411239
2043,0,Emerging Markets - Equities,0.000840033,0.08,1029.122098
2043,0,Developed Markets - Equities,0.94287384,94.29,1155111.952
2043,0,Emerging Markets State - Obligations,0.017157679,1.72,21019.82195
2043,0,High Yield Bonds - Obligations,0.006404104,0.64,7845.648708
2043,0,Investment Grade Bonds - Obligations,0.023606712,2.36,28920.51271
2043,0,Government ZC Bonds - Obligations,0.009117632,0.91,11169.98404
2044,0,Emerging Markets - Equities,0.942036547,94.2,1101119.178
2044,0,Developed Markets - Equities,0.001560503,0.16,1824.027055
2044,0,Emerging Markets State - Obligations,0.01856088,1.86,21695.27446
2044,0,High Yield Bonds - Obligations,0.010697134,1.07,12503.5697
2044,0,Investment Grade Bonds - Obligations,0.005905897,0.59,6903.231199
2044,0,Government ZC Bonds - Obligations,0.021239038,2.12,24825.69554
