Dato,Åben,Højeste,Laveste,Slutkurs,Antal
04/03/2015,46.04,46.3,45.93,46.3,31511
05/03/2015,46.42,46.83,46.42,46.71,3261
06/03/2015,46.75,46.88,46.75,46.76,1900
09/03/2015,46.58,46.71,46.38,46.71,13993
10/03/2015,46.8,46.8,46.21,46.21,878
11/03/2015,46.89,46.89,46.7,46.89,470
12/03/2015,46.97,46.97,46.94,46.94,2684
13/03/2015,46.94,47.08,46.84,47.08,3273
16/03/2015,47.3,47.63,47.3,47.5,13679
17/03/2015,47.64,47.64,47.21,47.21,4594
18/03/2015,47.22,47.38,47.22,47.38,3293
19/03/2015,47.73,47.74,47.54,47.59,7971
20/03/2015,47.66,48.11,47.61,48.02,17847
23/03/2015,47.85,47.85,47.65,47.75,4220
24/03/2015,47.76,47.96,47.7,47.85,9693
25/03/2015,47.78,47.83,47.32,47.33,5577
26/03/2015,46.81,46.91,46.81,46.91,2860
27/03/2015,47.2,47.34,47.05,47.05,341
30/03/2015,47.26,47.65,47.26,47.65,12690
31/03/2015,47.76,47.79,47.2,47.28,12638
01/04/2015,47.11,47.67,47.11,47.41,19570
02/04/2015,47.31,47.35,47.3,47.35,25230
07/04/2015,47.97,48.09,47.88,48.09,1839
08/04/2015,48.31,48.31,48.12,48.12,635
09/04/2015,48.32,48.65,48.32,48.65,13756
10/04/2015,48.89,49.17,48.89,49.17,1346
13/04/2015,49.06,49.28,49.06,49.24,14295
14/04/2015,49.25,49.25,48.91,48.98,10207
15/04/2015,49.07,49.35,49.07,49.35,779
16/04/2015,49.32,49.35,48.96,48.99,6680
17/04/2015,48.99,48.99,48.14,48.14,13386
20/04/2015,48.29,48.56,48.29,48.47,21847
21/04/2015,48.97,48.97,48.69,48.79,7332
22/04/2015,48.95,48.95,48.35,48.65,1705
23/04/2015,48.49,48.53,48.36,48.53,2849
24/04/2015,48.66,48.73,48.58,48.73,6781
27/04/2015,48.79,49.2,48.79,49.2,2531
28/04/2015,49.09,49.09,48.43,48.47,723
29/04/2015,48.62,48.62,47.37,47.37,22837
30/04/2015,47.25,47.43,47.12,47.27,15651
04/05/2015,47.34,47.71,46.97,47.47,15348
05/05/2015,47.87,47.87,46.71,46.71,2749
06/05/2015,46.71,46.92,46.38,46.49,7777
07/05/2015,45.86,46.48,45.86,46.48,1415
08/05/2015,47.26,47.84,47.26,47.84,16657
11/05/2015,47.84,48.04,47.84,48.04,2435
12/05/2015,47.66,47.66,47.19,47.42,19
13/05/2015,47.55,47.55,47.27,47.27,114
14/05/2015,47.07,47.83,47.07,47.83,27
15/05/2015,47.86,48.03,47.49,47.49,1359
18/05/2015,47.49,47.67,47.44,47.67,2419
19/05/2015,48.43,48.45,48.27,48.45,21492
20/05/2015,48.41,48.72,48.41,48.72,1876
21/05/2015,48.86,48.93,48.86,48.93,160
22/05/2015,48.93,48.93,48.89,48.89,277
26/05/2015,48.49,48.83,48.49,48.52,861
27/05/2015,48.67,49,48.67,49,190
28/05/2015,48.93,49.01,48.61,48.8,7521
29/05/2015,48.8,48.8,47.93,47.93,3861
01/06/2015,48.25,48.25,47.94,47.94,2201
02/06/2015,47.48,47.66,47.48,47.53,1591
03/06/2015,47.56,47.85,47.43,47.5,74030
04/06/2015,47.29,47.29,46.76,47.05,584
05/06/2015,46.55,46.62,46.55,46.62,1629
08/06/2015,46.51,46.51,46.23,46.23,1414
09/06/2015,46.04,46.17,45.6,46.03,3837
10/06/2015,45.92,46.83,45.92,46.83,64036
11/06/2015,46.89,47.19,46.89,47.16,669
12/06/2015,46.47,46.77,46.47,46.77,531
15/06/2015,46.22,46.26,45.97,45.97,9353
16/06/2015,45.6,46.34,45.6,46.23,717
17/06/2015,46.39,46.39,46.03,46.03,10862
18/06/2015,45.95,46.08,45.95,46.08,96
19/06/2015,46.43,46.62,46.28,46.28,5265
22/06/2015,47.15,47.31,47.04,47.31,31293
23/06/2015,47.79,48.13,47.78,47.96,8765
24/06/2015,47.69,47.69,47.69,47.69,
25/06/2015,47.99,47.99,47.5,47.56,1306
26/06/2015,47.24,47.83,47.23,47.68,14561
29/06/2015,46.1,46.75,46.1,46.33,9870
30/06/2015,46.21,46.49,45.82,45.92,23158
01/07/2015,46.11,46.81,46.01,46.49,23369
02/07/2015,46.55,46.55,46.27,46.27,378
03/07/2015,46.26,46.26,45.89,46.04,2162
06/07/2015,45.64,45.71,45.41,45.49,11593
07/07/2015,45.48,45.53,44.72,44.72,1346
08/07/2015,44.72,44.84,44.72,44.77,1915
09/07/2015,44.99,45.87,44.99,45.79,19306
10/07/2015,46.47,46.73,46.41,46.66,12554
13/07/2015,47.32,47.64,47.2,47.63,27007
14/07/2015,47.4,47.88,47.4,47.88,350
15/07/2015,47.94,48.14,47.82,48.08,24560
16/07/2015,48.7,48.8,48.7,48.77,18100
17/07/2015,49,49,48.66,48.74,8889
20/07/2015,48.77,49.08,48.77,48.9,26311
21/07/2015,48.83,48.83,48.35,48.35,1392
22/07/2015,48.14,48.3,48.01,48.07,2853
23/07/2015,48.4,48.4,47.82,47.82,4551
24/07/2015,48.03,48.03,47.38,47.38,406
27/07/2015,46.99,46.99,46.31,46.31,164
28/07/2015,46.53,46.86,46.53,46.86,399
29/07/2015,46.97,47.32,46.97,47.26,4906
30/07/2015,47.56,47.56,47.48,47.56,1382
31/07/2015,47.61,47.62,47.4,47.61,2189
03/08/2015,47.81,47.99,47.66,47.96,4062
04/08/2015,47.77,47.92,47.77,47.92,104
05/08/2015,48.11,48.49,48.11,48.49,1148
06/08/2015,48.38,48.41,48.17,48.17,8727
07/08/2015,47.88,47.88,47.73,47.73,165
10/08/2015,47.8,48.05,47.8,48.05,104
11/08/2015,47.77,47.77,47.3,47.3,191
12/08/2015,46.17,46.37,45.95,46.01,515
13/08/2015,46.85,46.93,46.49,46.49,2000
14/08/2015,46.5,46.6,46.39,46.39,2292
17/08/2015,46.78,46.79,46.2,46.51,7649
18/08/2015,46.54,46.76,46.38,46.63,2921
19/08/2015,45.75,45.75,45.75,45.75,
20/08/2015,45.36,45.36,44.85,44.88,14054
21/08/2015,44.16,44.57,43.29,43.29,9995
24/08/2015,41.91,42.22,40.65,41.01,33076
25/08/2015,41.66,42.76,41.66,42.72,55459
26/08/2015,41.82,42.74,41.82,41.94,48970
27/08/2015,43.04,43.48,42.98,43.48,3144
28/08/2015,43.58,43.67,43.18,43.67,1937
31/08/2015,43.6,43.6,43.48,43.48,276
01/09/2015,42.97,43.01,42.33,42.33,19213
02/09/2015,42.5,42.68,42.12,42.38,6824
03/09/2015,43.12,43.45,43,43.45,2188
04/09/2015,42.84,42.84,42.35,42.35,16040
07/09/2015,42.84,42.84,42.45,42.52,2005
08/09/2015,42.93,43.28,42.93,43.04,5635
09/09/2015,43.97,43.97,43.65,43.65,250
10/09/2015,43.29,43.44,43.06,43.06,1146
11/09/2015,42.9,42.9,42.6,42.6,1296
14/09/2015,42.8,42.8,42.34,42.35,11621
15/09/2015,42.32,42.74,42.32,42.74,545
16/09/2015,43.2,43.37,43.2,43.37,50
17/09/2015,43.37,43.37,43.29,43.29,8105
18/09/2015,42.72,42.72,42.37,42.51,1067
21/09/2015,42.7,42.89,42.51,42.89,528
22/09/2015,42.72,42.72,41.53,41.53,7769
