Dato,Åben,Højeste,Laveste,Slutkurs,Antal
25/07/2016,234.1,234.1,234.1,234.1,
26/07/2016,234.8,234.8,234.1,234.1,87
27/07/2016,233.8,236.2,233.8,236.2,37
28/07/2016,236.5,237,236.5,237,50
29/07/2016,238.6,238.6,238.6,238.6,
01/08/2016,238.1,238.1,238,238.1,42
02/08/2016,237.5,237.5,235.1,235.5,56
03/08/2016,235.4,235.4,235.4,235.4,
04/08/2016,235.5,237.5,235.5,237.5,5
05/08/2016,237.3,237.3,236.6,236.6,96
08/08/2016,236.3,236.7,236.3,236.7,52
09/08/2016,237.3,237.3,237.3,237.3,
11/08/2016,238.8,238.8,238.3,238.3,9
12/08/2016,238.4,238.4,238.4,238.4,
15/08/2016,237.4,237.4,237.4,237.4,
16/08/2016,235.4,235.4,235.4,235.4,
17/08/2016,236.1,236.1,235.7,236.1,70
18/08/2016,237.9,237.9,237.9,237.9,
19/08/2016,238,238,235.8,235.8,20
22/08/2016,237.6,237.6,237.6,237.6,
23/08/2016,237.9,237.9,237.4,237.4,230
24/08/2016,237.1,237.3,236.8,237,260
25/08/2016,236.7,236.9,236.1,236.4,27
26/08/2016,236.4,236.6,236.4,236.6,57
29/08/2016,235.5,236.2,235.5,236.2,74
30/08/2016,235.6,236.8,235.6,236.6,155
31/08/2016,236.7,236.7,234.9,234.9,125
01/09/2016,234.2,234.2,233.9,234.1,57
02/09/2016,233.5,234,233,233,181
05/09/2016,233.5,233.5,233.5,233.5,47
06/09/2016,236.5,236.5,236.5,236.5,
07/09/2016,237.8,237.8,237.8,237.8,15
08/09/2016,234.2,234.2,234.2,234.2,
09/09/2016,233.8,233.8,230.1,230.1,479
12/09/2016,228.7,229.8,228.7,229.6,105
13/09/2016,228.8,228.8,228.8,228.8,
14/09/2016,228.8,229.7,228.8,229.5,99
15/09/2016,228.7,228.7,228.2,228.2,1
16/09/2016,228.6,228.6,228.6,228.6,20
19/09/2016,228.8,228.8,228.8,228.8,
20/09/2016,231,231.5,231,231.5,6
21/09/2016,231.3,231.3,230.9,230.9,12
22/09/2016,234.9,235.3,234.9,235.3,35
23/09/2016,235.3,235.5,234.7,234.8,19
26/09/2016,235.7,235.7,235.7,235.7,
27/09/2016,236.3,236.3,236.3,236.3,100
28/09/2016,236.7,237,236.7,237,75
29/09/2016,236.4,236.4,235.6,235.6,213
30/09/2016,236.6,236.6,235.9,235.9,101
04/10/2016,234.1,234.7,234,234,131
05/10/2016,229.7,229.7,229.7,229.7,
06/10/2016,229.6,230.7,229.5,229.5,4208
07/10/2016,229,229.5,228.7,228.7,1040
10/10/2016,229,229,227.6,227.6,21
11/10/2016,227.7,228.9,227.7,228.9,1013
12/10/2016,227.1,227.7,227,227.2,695
13/10/2016,228.4,228.5,228.3,228.5,29
14/10/2016,228.2,228.2,228,228,173
17/10/2016,226.8,227.4,226.5,227.4,154
18/10/2016,228.4,228.4,228.4,228.4,
19/10/2016,229.1,229.1,228.6,228.9,87
20/10/2016,228.5,230.1,228.5,230.1,40
21/10/2016,230,230.1,230,230,147
24/10/2016,231,231,229,229,99
25/10/2016,229.5,229.5,228.8,228.8,413
26/10/2016,228.5,228.5,225.8,226.1,1578
27/10/2016,224.2,224.3,222.1,222.1,1316
28/10/2016,220.8,222.5,220.8,222.5,4837
31/10/2016,222.5,222.6,222.5,222.6,179
01/11/2016,221.5,221.6,221.1,221.4,62
02/11/2016,222.8,223.8,222.6,223.8,1028
03/11/2016,222.9,222.9,222.7,222.8,61
04/11/2016,222.8,223.3,222.8,223.3,137
07/11/2016,223.4,223.4,223.3,223.3,76
08/11/2016,223.5,223.5,222.2,222.2,25
09/11/2016,221.4,221.4,221.3,221.3,15
10/11/2016,215.5,215.7,215.5,215.7,28
11/11/2016,213.1,213.1,213.1,213.1,
14/11/2016,209.3,211.6,209.1,211.6,123
15/11/2016,212.7,214.8,212.7,214.8,39
16/11/2016,213.8,214.1,213.8,214.1,1
17/11/2016,215,215,213.4,213.9,32
18/11/2016,213,213.6,213,213.6,44
21/11/2016,213.2,213.8,213.2,213.8,21
22/11/2016,215.1,215.1,215.1,215.1,
