Dato,Åben,Højeste,Laveste,Slutkurs,Antal
27/02/2015,172.7,173.1,171.8,172.4,8464
02/03/2015,172.8,173.3,171.7,173.3,24431
03/03/2015,173.1,173.6,172,172,15815
04/03/2015,173.5,173.6,172.4,173.6,35562
05/03/2015,173.9,175,173.2,174.8,42458
06/03/2015,174.8,177.2,174.8,175.7,43581
09/03/2015,174.5,175.5,173.9,175.4,82404
10/03/2015,176.2,176.6,174.9,175.6,13620
11/03/2015,175.9,178,175.9,177.2,33240
12/03/2015,176.5,178.1,176.3,178.1,44605
13/03/2015,178.8,179.5,178,178.6,65263
16/03/2015,178.7,180,178.6,179.5,60624
17/03/2015,179.7,180,178.3,179.2,14240
18/03/2015,179.4,179.6,178,178.2,32333
19/03/2015,180.4,180.9,179.5,180,21410
20/03/2015,180.1,180.2,178.4,180.2,80652
23/03/2015,179.3,179.3,176.6,177.2,45223
24/03/2015,176,177.3,175.7,176.6,27339
25/03/2015,175.4,175.4,173.2,173.2,41605
26/03/2015,170.7,173.2,169.8,173,79482
27/03/2015,174.8,174.9,172.7,173.3,250579
30/03/2015,175.5,176.6,175.1,176.6,82707
31/03/2015,176.9,178,176.5,177.6,49809
01/04/2015,175.3,176.7,174.8,175.3,73793
02/04/2015,174.5,174.9,173.7,174.7,9156
07/04/2015,175,176.6,174.7,176.6,9987
08/04/2015,176.7,176.8,175.2,176.6,10295
09/04/2015,177.3,178.8,177.2,178.6,33888
10/04/2015,180.5,181.9,180.5,181.9,20694
13/04/2015,181.7,183.1,181.7,182.5,9359
14/04/2015,182.7,182.8,178.9,180.1,9093
15/04/2015,181.6,182.5,180.2,182,11984
16/04/2015,182.1,182.1,179.2,180.1,42576
17/04/2015,179.5,179.5,177,177.3,29178
20/04/2015,178.1,179.6,178.1,179.6,15535
21/04/2015,181.2,181.7,179.3,179.3,18933
22/04/2015,179.5,180.1,177.7,179.9,26327
23/04/2015,181.1,181.1,179,179.2,14625
24/04/2015,178.8,179.7,178.2,179.1,11658
27/04/2015,179.7,180,178.8,178.8,21187
28/04/2015,178.3,178.3,175.5,176.8,23507
29/04/2015,177,177.1,173.3,173.5,103960
30/04/2015,173.9,173.9,171.3,172.3,18786
04/05/2015,173.9,174.5,173.3,174.2,3748
05/05/2015,175,175.6,172.1,172.1,23252
06/05/2015,170.9,171.8,167.9,168.9,12589
07/05/2015,168,170.1,166.5,170.1,13126
08/05/2015,172,173.3,170.9,173.2,6938
11/05/2015,173.4,174.4,173.4,174.2,5067
12/05/2015,172.7,172.7,170,171.7,4069
13/05/2015,172.2,172.7,169.8,170.1,10146
14/05/2015,169.3,171.1,169.1,171.1,981
15/05/2015,171.2,172.4,170.5,170.5,5280
18/05/2015,170.4,172.4,170.4,172.4,21764
19/05/2015,175.1,175.9,174.7,175.8,12599
20/05/2015,176.9,176.9,175.5,176.3,23466
21/05/2015,175.6,176.3,174.6,176.3,8596
22/05/2015,176,177.8,175,177.3,16855
26/05/2015,179.7,179.7,177.7,178.1,32396
27/05/2015,177.8,179.4,177.2,179,28403
28/05/2015,179,179.5,178.1,178.7,9473
29/05/2015,178.3,178.3,174.8,176.7,44225
01/06/2015,177.6,178.4,176.8,177.8,21003
02/06/2015,177.4,177.4,173.2,174.4,16007
03/06/2015,174.6,175.5,172.9,173.1,56689
04/06/2015,173,173.1,170.5,171.6,20493
05/06/2015,171.5,174.4,171.4,173.5,24200
08/06/2015,172.5,173.1,171.2,171.2,8121
09/06/2015,169.8,170.4,169.2,170.1,37126
10/06/2015,169.5,171.4,168.8,171.4,36039
11/06/2015,171.6,173.5,171.6,172.8,24936
12/06/2015,172.8,173.8,170.9,171.2,15321
15/06/2015,171.4,171.4,169.8,170.3,6227
16/06/2015,169.1,171.4,168.9,171.4,7687
17/06/2015,171.1,172.2,171.1,171.7,7623
18/06/2015,170.4,171.3,169.4,171.3,5699
19/06/2015,173.1,173.2,171.9,172.2,21290
22/06/2015,171.7,172.9,171.6,172.2,19550
23/06/2015,173.9,175.8,173.7,174.7,26157
24/06/2015,174.8,175,174.1,174.6,25102
25/06/2015,173.7,174.6,173.3,173.9,12275
26/06/2015,172.8,173.9,172.6,173.9,17417
29/06/2015,172.9,173.5,171.2,171.2,26529
30/06/2015,170.3,171.4,169.6,170.7,19223
01/07/2015,171.7,173.3,171.7,172.7,24162
02/07/2015,173.2,173.7,172.5,172.5,18306
03/07/2015,172.5,172.8,172.1,172.3,6004
06/07/2015,172,172.9,171.5,172.5,46715
07/07/2015,174.1,175.4,172,172,15958
08/07/2015,173.2,173.2,171,171.5,50360
09/07/2015,171.4,172.8,171.4,172.4,10070
10/07/2015,172.1,172.1,170.7,171.7,39674
13/07/2015,171.8,175.3,171.8,175.3,26294
14/07/2015,176.3,176.6,175,176.5,14746
15/07/2015,176.9,177.7,176.3,177.7,4348
16/07/2015,178.3,180.1,178.3,179.6,2923
17/07/2015,180,180.4,179.6,180.3,8717
20/07/2015,180.9,181.2,180.4,180.8,6093
21/07/2015,181.5,181.5,178.7,178.8,12144
22/07/2015,177.8,179.3,177.8,178.6,33600
23/07/2015,178.9,178.9,177.2,177.3,7671
24/07/2015,176.9,177.8,175.9,175.9,20757
27/07/2015,174.5,174.5,171.4,171.5,16273
28/07/2015,173.6,174.2,172.8,173.7,12670
29/07/2015,175.2,176,174.7,176,8659
30/07/2015,177.4,177.6,176.8,177.6,20297
31/07/2015,177.8,178.1,175.4,176.4,13866
03/08/2015,176.7,177.3,176.1,177.1,60434
04/08/2015,176.5,176.8,175.9,176.4,7930
05/08/2015,177.5,179.4,177.5,179.1,7305
06/08/2015,177.4,178.2,176,176,10853
07/08/2015,175.9,176.8,174.4,174.4,16605
10/08/2015,175.6,176.8,174.9,176.4,9096
11/08/2015,176.3,176.3,173.7,173.8,5431
12/08/2015,172.4,172.4,169.4,169.8,12059
13/08/2015,173.8,174,172.5,172.6,22466
14/08/2015,172.7,173,171.7,173,5642
17/08/2015,174.6,175,172.9,174.7,7066
18/08/2015,175.1,175.8,174.7,175.8,6231
19/08/2015,174.7,175.2,172.9,173,5821
20/08/2015,172.2,172.2,169,169.4,11377
21/08/2015,166.1,166.7,162.5,162.5,35566
24/08/2015,155.5,156.6,136,152.2,101237
25/08/2015,152.6,157.5,152.2,157.3,41197
26/08/2015,151.9,156.5,151.5,153.2,94059
27/08/2015,159,162.3,158.8,162.3,32701
28/08/2015,162.8,164.3,160.4,164.3,22750
31/08/2015,162.9,163.1,162,163.1,9846
01/09/2015,159.5,159.5,156.9,158.8,10015
02/09/2015,158.7,160,157.5,158.5,7509
03/09/2015,160.2,164.5,160.2,163.7,28837
04/09/2015,161.2,161.2,159,159.8,11500
07/09/2015,161.5,161.5,160,160.3,13573
08/09/2015,161.1,162.5,160.8,161.3,18092
09/09/2015,164.9,165.1,163.1,163.5,8186
10/09/2015,161.1,162.4,159.3,159.9,8864
11/09/2015,160,160,158.6,158.7,9125
14/09/2015,159.7,161.2,159.4,159.4,4209
15/09/2015,160,161.6,159.4,161.6,17027
16/09/2015,162.3,163.2,162.2,162.7,1774
17/09/2015,163.4,163.4,162.5,163.4,2427
18/09/2015,161.5,161.5,158.6,160.2,13125
21/09/2015,160.6,163.5,159.9,162.9,2345
22/09/2015,162.8,162.8,160.5,160.5,7267
23/09/2015,160.7,162.3,160.6,160.7,14469
24/09/2015,159.7,160.7,156.5,156.9,20067
25/09/2015,161,162.8,160.4,161,14560
28/09/2015,160.6,160.6,156.3,156.3,5687
29/09/2015,153.9,156.5,153.9,154.9,24054
30/09/2015,156.9,158.9,156.3,158.6,2909
01/10/2015,160.9,161,157.7,158,8050
02/10/2015,160.1,160.5,155.1,157.6,20919
05/10/2015,161,163.3,160.6,163,8865
06/10/2015,163.8,164.3,162.7,162.8,9288
07/10/2015,163.5,164.9,162.5,162.9,9867
08/10/2015,163.6,164.1,162.5,163.7,8295
09/10/2015,165.4,165.4,164,164.2,4355
12/10/2015,164.5,164.6,163.7,164.6,10093
13/10/2015,164.3,164.6,163,164.2,36930
14/10/2015,162.5,163,161.3,161.5,27358
15/10/2015,161.8,163.3,161.7,162.8,3475
16/10/2015,164.8,165.6,164.7,165.4,14040
