Dato,Åben,Højeste,Laveste,Slutkurs,Antal
04/03/2015,60.27,60.27,60.27,60.27,
05/03/2015,60.33,60.42,60.33,60.42,50
06/03/2015,60.43,60.54,60.36,60.36,741
09/03/2015,60.51,60.53,60.51,60.52,278
10/03/2015,60.68,60.79,60.67,60.79,815
11/03/2015,60.9,61,60.9,60.97,1356
12/03/2015,60.95,60.95,60.95,60.95,
13/03/2015,60.9,60.91,60.9,60.91,80
16/03/2015,60.92,60.92,60.9,60.9,83
17/03/2015,60.85,60.85,60.78,60.78,113
18/03/2015,60.91,60.91,60.82,60.82,32
19/03/2015,60.94,60.98,60.88,60.88,480
20/03/2015,60.95,60.95,60.94,60.94,854
23/03/2015,60.79,60.79,60.79,60.79,
24/03/2015,60.84,60.85,60.72,60.72,10445
25/03/2015,60.81,60.81,60.74,60.74,140
26/03/2015,60.8,60.8,60.77,60.77,789
27/03/2015,60.82,60.82,60.77,60.77,2109
30/03/2015,60.81,60.81,60.77,60.77,120
31/03/2015,60.87,60.94,60.87,60.91,1956
01/04/2015,60.97,61.01,60.97,60.98,1468
02/04/2015,60.97,60.97,60.86,60.86,320
07/04/2015,60.96,60.96,60.83,60.9,114
08/04/2015,61,61.01,60.95,60.95,530
09/04/2015,60.95,60.95,60.88,60.88,200
10/04/2015,60.84,60.91,60.84,60.91,250
13/04/2015,61,61,60.91,60.91,16
14/04/2015,60.93,60.93,60.93,60.93,
15/04/2015,61.04,61.06,61.03,61.06,426
16/04/2015,61.15,61.15,60.99,60.99,1055
17/04/2015,60.9,60.9,60.9,60.9,
20/04/2015,61,61.01,60.91,60.91,2098
21/04/2015,61,61,60.8,60.86,4311
22/04/2015,60.84,60.89,60.83,60.83,592
23/04/2015,60.88,60.88,60.8,60.8,83
24/04/2015,60.84,60.9,60.76,60.76,410
27/04/2015,60.85,60.86,60.82,60.82,8518
28/04/2015,61,61,60.77,60.82,21340
29/04/2015,60.66,60.66,60.38,60.38,510
30/04/2015,60.2,60.2,60.2,60.2,
04/05/2015,60.14,60.14,60.03,60.03,3510
05/05/2015,60,60.14,59.55,59.6,993
06/05/2015,59.47,59.51,59.34,59.34,6895
07/05/2015,59.14,59.44,59.14,59.44,1146
08/05/2015,59.67,59.67,59.55,59.63,551
11/05/2015,59.55,59.55,59.46,59.46,391
12/05/2015,59.24,59.32,59.03,59.23,3537
13/05/2015,59.09,59.09,59.09,59.09,
14/05/2015,59.2,59.2,59.08,59.09,97
15/05/2015,59.19,59.34,59.19,59.32,475
18/05/2015,59.28,59.28,59.13,59.15,509
19/05/2015,59.58,59.58,59.26,59.32,1612
20/05/2015,59.49,59.52,59.3,59.3,353
21/05/2015,59.3,59.3,59.28,59.28,900
22/05/2015,59.3,59.4,59.3,59.4,7
26/05/2015,59.44,59.47,59.37,59.37,82
27/05/2015,59.42,59.48,59.42,59.44,2101
28/05/2015,59.4,59.45,59.4,59.43,440
29/05/2015,59.62,59.62,59.62,59.62,10300
01/06/2015,59.74,59.74,59.42,59.42,1288
02/06/2015,59.01,59.01,58.96,58.96,1215
03/06/2015,58.66,58.66,58.55,58.55,188
04/06/2015,58.23,58.23,58.23,58.23,407
05/06/2015,58.5,58.52,58.46,58.46,153
