Dato,Åben,Højeste,Laveste,Slutkurs,Antal
04/03/2015,62.2,62.2,62.15,62.15,300
05/03/2015,62.11,62.33,62.11,62.33,11200
06/03/2015,62.52,62.52,62.32,62.32,4875
09/03/2015,62.57,62.57,62.57,62.57,
10/03/2015,62.97,62.97,62.97,62.97,14281
11/03/2015,63.16,63.28,63.16,63.28,790
12/03/2015,63.25,63.25,63.25,63.25,6000
13/03/2015,63.22,63.22,63.17,63.17,352
16/03/2015,63.19,63.19,63.19,63.19,5534
17/03/2015,62.97,62.97,62.97,62.97,
18/03/2015,63.04,63.05,63.01,63.01,21851
19/03/2015,63.14,63.14,63.09,63.09,1234
20/03/2015,63.18,63.18,63.18,63.18,
23/03/2015,63.02,63.02,63.02,63.02,2853
24/03/2015,62.98,62.98,62.93,62.93,17810
25/03/2015,62.94,62.94,62.94,62.94,
26/03/2015,62.98,62.99,62.98,62.99,5072
27/03/2015,62.97,62.97,62.97,62.97,
30/03/2015,63,63,63,63,125
31/03/2015,63.13,63.19,63.13,63.19,1093
01/04/2015,63.27,63.27,63.22,63.22,5193
02/04/2015,63.12,63.12,63.12,63.12,6802
07/04/2015,63.2,63.2,63.16,63.16,551
08/04/2015,63.22,63.22,63.2,63.2,7500
09/04/2015,63.19,63.19,63.13,63.13,300
10/04/2015,63.2,63.2,63.2,63.2,6804
13/04/2015,63.17,63.23,63.17,63.19,8962
14/04/2015,63.19,63.19,63.19,63.19,3956
15/04/2015,63.39,63.39,63.39,63.39,3165
16/04/2015,63.34,63.34,63.26,63.26,383
17/04/2015,63.17,63.17,63.08,63.08,9042
20/04/2015,63.2,63.2,63.13,63.13,4016
21/04/2015,63.07,63.07,63.07,63.07,4122
22/04/2015,63.01,63.01,63.01,63.01,
23/04/2015,63.02,63.02,62.99,62.99,1000
24/04/2015,63.01,63.01,62.92,62.92,178
27/04/2015,63.02,63.03,63.02,63.03,5017
28/04/2015,63.06,63.06,63,63,125
29/04/2015,62.42,62.42,62.42,62.42,
30/04/2015,62.11,62.26,62.11,62.26,200
04/05/2015,62.19,62.19,62.01,62.01,6575
05/05/2015,61.87,61.87,61.39,61.39,9394
06/05/2015,61.32,61.32,60.98,60.98,420
07/05/2015,60.71,61.19,60.51,61.19,10168
08/05/2015,61.33,61.33,61.33,61.33,1148
11/05/2015,61.14,61.14,61.14,61.14,
12/05/2015,60.68,60.86,60.64,60.8,6050
13/05/2015,61.05,61.05,60.68,60.68,6510
14/05/2015,60.66,60.66,60.66,60.66,
15/05/2015,60.82,60.98,60.82,60.98,800
18/05/2015,60.79,60.81,60.79,60.81,52148
19/05/2015,61.07,61.07,61.07,61.07,
20/05/2015,60.98,60.98,60.98,60.98,
21/05/2015,60.96,60.96,60.96,60.96,
22/05/2015,61.04,61.04,61.04,61.04,
26/05/2015,61.06,61.06,61.04,61.04,5005
27/05/2015,61.1,61.15,61.09,61.15,965
28/05/2015,61.14,61.14,61.14,61.14,
29/05/2015,61.23,61.29,61.23,61.29,170
01/06/2015,61.28,61.28,61.1,61.1,8000
02/06/2015,60.59,60.59,60.55,60.55,3529
03/06/2015,60.04,60.04,60.04,60.04,
04/06/2015,59.75,60.14,59.75,60.14,28
05/06/2015,59.89,59.89,59.89,59.89,1185
08/06/2015,59.74,59.74,59.74,59.74,
09/06/2015,59.74,59.79,59.53,59.53,1284
10/06/2015,59.39,59.45,59.24,59.45,10557
11/06/2015,59.39,59.8,59.39,59.75,16669
