Dato,Åben,Højeste,Laveste,Slutkurs,Antal
04/03/2015,57.26,57.3,57.16,57.18,6645
05/03/2015,57.12,57.2,57.12,57.2,288
06/03/2015,57.21,57.22,57.07,57.21,11997
09/03/2015,57.24,57.3,57.24,57.3,5200
10/03/2015,57.19,57.41,57.19,57.4,14581
11/03/2015,57.32,57.39,57.32,57.39,502
12/03/2015,57.34,57.43,57.27,57.32,5332
13/03/2015,57.24,57.24,57.21,57.21,6183
16/03/2015,57.16,57.19,57.12,57.17,7756
17/03/2015,57.12,57.12,57.03,57.03,900
18/03/2015,56.85,57.18,56.85,57.17,4199
19/03/2015,57.11,57.12,57.08,57.12,3816
20/03/2015,57.17,57.18,57.16,57.16,3000
23/03/2015,57.12,57.21,57.06,57.11,8006
24/03/2015,57.02,57.02,57.02,57.02,344
25/03/2015,57.04,57.04,57.04,57.04,
26/03/2015,57.09,57.09,57,57.07,680
27/03/2015,57.1,57.1,57.1,57.1,
30/03/2015,57.06,57.2,57.06,57.11,1087
31/03/2015,57.18,57.18,57.18,57.18,
01/04/2015,57.14,57.26,57.14,57.22,5883
02/04/2015,57.3,57.3,57.18,57.25,6093
07/04/2015,57.19,57.28,57.19,57.24,2417
08/04/2015,57.06,57.32,57.06,57.32,240
09/04/2015,57.29,57.33,57.29,57.33,1204
10/04/2015,57.3,57.37,57.3,57.37,16320
13/04/2015,57.32,57.35,57.32,57.34,3110
14/04/2015,57.36,57.38,57.36,57.38,547
15/04/2015,57.45,57.45,57.37,57.41,239
16/04/2015,57.39,57.43,57.38,57.38,7025
17/04/2015,57.38,57.38,57.31,57.34,9106
20/04/2015,57.31,57.37,57.29,57.33,6046
21/04/2015,57.37,57.37,57.29,57.29,5117
22/04/2015,57.25,57.32,57.17,57.17,3592
23/04/2015,57.2,57.2,57.2,57.2,
24/04/2015,57.16,57.27,57.16,57.22,558
27/04/2015,57.26,57.26,57.26,57.26,3409
28/04/2015,57.27,57.31,57.26,57.27,10022
29/04/2015,57.28,57.28,57.01,57.01,2493
30/04/2015,57.05,57.05,56.88,56.88,3155
04/05/2015,56.74,56.86,56.74,56.79,1152
05/05/2015,56.88,56.88,56.78,56.8,45501
06/05/2015,56.56,56.62,56.54,56.54,5211
07/05/2015,56.48,56.48,56.48,56.48,
08/05/2015,56.43,56.53,56.43,56.53,2694
11/05/2015,56.59,56.6,56.56,56.56,5962
12/05/2015,56.31,56.42,56.31,56.42,440
13/05/2015,56.49,56.53,56.41,56.41,7965
14/05/2015,56.34,56.34,56.34,56.34,
15/05/2015,56.45,56.52,56.37,56.52,64
18/05/2015,56.49,56.49,56.41,56.47,7741
19/05/2015,56.57,56.57,56.55,56.55,87
20/05/2015,56.55,56.55,56.5,56.53,483
21/05/2015,56.49,56.49,56.49,56.49,
22/05/2015,56.5,56.52,56.5,56.52,3550
26/05/2015,56.69,56.69,56.56,56.59,1337
27/05/2015,56.53,56.67,56.51,56.58,4886
28/05/2015,56.54,56.55,56.54,56.55,31
29/05/2015,56.65,56.65,56.55,56.62,5082
01/06/2015,56.58,56.58,56.54,56.54,27
