Dato,Åben,Højeste,Laveste,Slutkurs,Antal
25/04/2018,4.184,4.188,4.184,4.188,238
26/04/2018,4.21,4.228,4.21,4.228,700
27/04/2018,4.25,4.277,4.232,4.232,13330
30/04/2018,4.245,4.284,4.245,4.249,6034
02/05/2018,4.289,4.293,4.265,4.283,2852
03/05/2018,4.291,4.291,4.244,4.249,37144
04/05/2018,4.275,4.31,4.274,4.31,13600
07/05/2018,4.333,4.348,4.331,4.348,3830
08/05/2018,4.357,4.373,4.344,4.373,1205
09/05/2018,4.4,4.411,4.399,4.403,12858
10/05/2018,4.413,4.429,4.399,4.423,35115
11/05/2018,4.435,4.435,4.42,4.428,18685
14/05/2018,4.433,4.433,4.411,4.411,24137
15/05/2018,4.417,4.42,4.41,4.414,9628
16/05/2018,4.431,4.461,4.431,4.461,5360
17/05/2018,4.478,4.496,4.478,4.489,1359
18/05/2018,4.487,4.497,4.485,4.493,8542
22/05/2018,4.528,4.528,4.51,4.522,11186
23/05/2018,4.506,4.507,4.492,4.507,7338
24/05/2018,4.514,4.516,4.484,4.494,4727
25/05/2018,4.526,4.53,4.523,4.523,2129
28/05/2018,4.533,4.545,4.533,4.533,11786
29/05/2018,4.527,4.527,4.5,4.519,6470
30/05/2018,4.519,4.544,4.513,4.534,5297
31/05/2018,4.533,4.533,4.521,4.522,4482
01/06/2018,4.518,4.538,4.518,4.531,25840
04/06/2018,4.547,4.547,4.533,4.543,5287
05/06/2018,4.585,4.585,4.545,4.545,10396
06/06/2018,4.559,4.559,4.53,4.543,9212
07/06/2018,4.548,4.55,4.529,4.529,2959
08/06/2018,4.536,4.543,4.529,4.543,1342
11/06/2018,4.549,4.555,4.549,4.554,8167
12/06/2018,4.56,4.573,4.557,4.567,14301
13/06/2018,4.588,4.589,4.57,4.57,9209
14/06/2018,4.53,4.61,4.53,4.61,7334
15/06/2018,4.629,4.629,4.582,4.582,5304
18/06/2018,4.592,4.601,4.57,4.595,7385
