Dato,Åben,Højeste,Laveste,Slutkurs,Antal
0.066446759,86.71,87.12,86.71,87.12,
0.066458333,93.04,93.46,93.04,93.39,1
0.066469907,91.88,92.01,91.66,91.66,25
0.066481481,99.17,99.17,98.86,98.86,
0.067141204,87.55,87.9,87.55,87.9,
0.067152778,92.44,93.2,92.44,93.2,14
0.067164352,92.16,92.16,91.37,91.37,19
0.067175926,99.18,99.29,99.01,99.13,9
0.067835648,89.79,89.8,89.62,89.62,42
0.067847222,92.66,92.9,92.66,92.9,
0.069224537,87.91,88.12,87.91,87.99,
0.069236111,92.36,92.9,92.36,92.8,8
0.069247685,92.52,92.56,92.43,92.44,3
0.069918981,91.29,91.43,91.24,91.41,3
0.069930556,88.53,89.36,88.53,89.36,11
0.069953704,101.7,102,101.7,101.9,112
0.070625,94.92,94.92,94.68,94.68,21
0.070636574,92.54,92.54,92.32,92.32,11
0.070648148,103.2,103.5,103.2,103.4,7
0.07130787,92,92,91.8,91.8,
0.071319444,93.22,93.9,93.2,93.73,1678
0.071331019,93.45,93.6,93.45,93.59,
0.072002315,92.94,93.22,92.94,93.15,10
0.072037037,104,104.5,104,104.5,
0.072696759,92.67,92.67,92.47,92.47,
0.072708333,94.04,94.43,94.04,94.43,75
0.072719907,93.29,93.93,93.29,93.93,5
0.072731481,104.9,105.2,104.9,105.2,10
0.07337963,86.36,86.58,86.23,86.23,71
0.073391204,93.1,93.81,93.1,93.66,18
0.073402778,93.34,93.34,92.82,92.82,608
0.073414352,95.34,96.07,95.34,95.87,8
0.10744213,90.69,91.19,90.69,91.19,3
0.107453704,97.27,97.42,97.27,97.33,99
0.107465278,110,111.2,110,111.2,421
0.108113426,87.27,87.71,87.27,87.63,2
0.108125,93.29,93.33,93.21,93.21,10
0.108136574,91.66,92.89,91.66,92.89,3056
0.108148148,98.82,99.32,98.82,99.32,73
0.108796296,87.65,88.28,87.65,87.87,1848
0.10880787,88.09,88.09,87.62,87.62,2
0.108819444,92.78,93.1,92.78,92.91,
0.108831019,91.52,91.94,91.52,91.94,
0.109537037,100.9,100.9,100.2,100.2,
0.110208333,93.19,93.49,93.19,93.31,2
0.110219907,91.05,91.07,90.86,90.86,12
0.110231481,100.6,100.7,100.6,100.6,40
0.110891204,88.23,88.46,88.23,88.31,2
0.110902778,92.69,92.69,92.31,92.31,
0.110914352,92.3,92.86,92.3,92.83,16
0.111585648,91.55,91.68,91.51,91.51,3
0.11162037,101.8,101.9,101.7,101.9,18
0.112280093,91.01,91.06,90.92,90.96,160
0.112291667,94.66,94.78,94.63,94.78,63
0.112303241,91.91,92.18,91.83,92.05,10
0.112314815,103.2,103.2,101.9,101.9,83
0.112974537,91.72,91.74,91.72,91.73,
0.112986111,94.23,94.74,93.96,94.57,153
0.113009259,102.8,102.8,102.7,102.7,
0.11369213,93.94,94.26,93.94,94.17,3005
0.113703704,104.2,104.4,104.2,104.4,14
0.114363426,92.21,92.53,92.21,92.53,
0.114375,94.48,94.51,94.18,94.28,990
0.114386574,93.8,94.2,93.46,94.19,1489
0.115046296,85.86,86.33,85.86,86.01,16
0.11505787,93.44,93.59,93.22,93.59,192
0.115069444,92.71,92.97,92.67,92.7,293
0.115092593,109.5,109.6,109.3,109.6,51
0.149097222,94.77,94.85,94.73,94.85,
0.149108796,91.45,92.06,91.45,91.71,28
0.14912037,97.17,97.36,97.11,97.12,77
0.149131944,111.4,111.4,110.7,110.8,188
0.149780093,87.75,87.93,87.75,87.83,
0.149791667,93.2,93.2,91.68,91.68,
0.149803241,92.81,93.25,92.69,93.25,5
0.149826389,112.3,112.3,111.5,111.5,1678
0.150462963,88.09,89.07,88.09,89.07,1721
0.150474537,87.69,87.75,87.52,87.52,
0.150486111,93.29,93.29,93.21,93.26,
0.150497685,92.08,92.53,92.08,92.53,10
0.150520833,111.8,111.8,111,111,203
0.15119213,92.48,92.48,91.99,91.99,650
0.151203704,100.3,100.3,99.92,99.92,6
0.151863426,88.6,88.6,88.5,88.5,
0.151875,93.59,93.73,93.13,93.73,11
0.151886574,90.62,90.72,90.61,90.61,
0.151898148,100.8,100.8,100.6,100.7,60
0.15255787,88.29,88.74,88.23,88.74,
0.152569444,92.47,92.47,92.09,92.09,
0.152592593,100.4,100.6,100.3,100.3,
0.153275463,92.32,92.32,92.1,92.1,
0.153287037,101.9,102,101.5,101.5,51
0.153946759,90.86,91.04,90.84,90.94,3
0.153958333,95.16,95.78,94.8,95.78,382
0.153969907,92.1,92.11,91.93,91.93,3
0.154641204,91.59,91.67,91.59,91.62,
0.154675926,102.8,102.9,102.8,102.9,
0.155347222,91.92,92.95,91.51,92.86,459
0.155358796,94.19,94.2,93.79,93.79,115
0.15537037,104.4,104.6,104.3,104.6,
0.156030093,92.49,92.59,92.43,92.43,1
0.156041667,94.45,94.56,94.11,94.27,275
0.156053241,94.34,94.34,94.11,94.15,41
0.156712963,85.61,85.92,85.61,85.83,10
0.156724537,93.88,93.88,93.69,93.69,
0.156759259,109.5,109.5,109.3,109.4,62
0.190752315,86.29,86.29,85.93,85.93,16
0.190763889,95.13,95.35,95.09,95.09,12
0.190775463,91.64,91.78,91.59,91.78,13
0.190787037,97.1,97.1,96.8,96.8,
0.191446759,87.86,88.21,87.86,88.21,
0.191458333,91.61,91.61,90.93,90.93,1006
0.191493056,111.7,111.7,111.2,111.2,892
0.192141204,87.57,87.68,87.57,87.68,
0.192152778,93.18,93.58,93.18,93.58,
0.192175926,99.11,99.11,99.03,99.03,
0.192847222,92.98,93.51,92.74,93.41,167
0.192858796,92,92,91.45,91.45,13
0.19287037,99.8,99.8,99.69,99.69,
0.193530093,88.68,88.88,88.63,88.64,171
0.193541667,93.69,93.71,93.13,93.13,2146
0.193553241,90.2,90.58,90.19,90.58,
0.194212963,85.64,85.69,85,85,25
0.194224537,88.79,88.81,88.57,88.57,
0.194259259,100.4,100.6,100.4,100.6,
0.194930556,89.08,89.23,88.83,89.23,
0.19494213,92.07,92.13,92.07,92.1,
0.194953704,101.8,101.8,101.7,101.7,
0.195613426,90.95,91.15,90.95,91.15,
0.195625,95.69,95.72,95.49,95.49,602
0.195636574,91.99,92,91.71,91.83,1254
0.196331019,93.76,93.76,93.63,93.63,1
0.196342593,102.6,102.7,102.5,102.5,9
0.197002315,93.06,93.06,92.88,92.88,4
0.197013889,92.83,93.44,92.83,93.24,311
0.197025463,93.53,93.53,93.01,93.11,129
0.197037037,104.3,104.9,104.3,104.8,5
0.197696759,92.67,93.07,92.67,92.95,116
0.197708333,94.14,94.48,93.6,93.6,387
0.197731481,104.8,105,104.8,104.9,36
0.19837963,85.67,85.98,85.67,85.98,
0.198414352,95.88,96.14,95.85,96.08,102
0.198425926,109.4,109.7,109.4,109.7,823
0.232418981,86.02,86.15,86.02,86.08,
0.232430556,95.04,95.04,94.75,94.75,
0.23244213,91.7,92.24,91.7,92.18,547
0.232453704,96.78,96.93,96.75,96.81,5
0.233113426,88.33,88.39,88.12,88.12,
0.233148148,99.2,99.5,99.2,99.36,64
0.233159722,110.9,111.1,110.9,111.1,290
0.233796296,89.4,89.4,88.39,88.39,1100
0.23380787,88.01,88.27,88.01,88.07,71
0.233842593,99.18,99.22,99,99.05,156
0.234513889,93.84,93.84,93.61,93.61,
0.234525463,91.3,91.3,91.27,91.27,
0.234537037,99.88,100,99.7,99.96,2
0.235196759,88.92,88.93,88.89,88.93,
0.235208333,93.72,93.72,92.9,92.9,
0.235219907,90.43,90.75,90.43,90.75,
0.235914352,93.15,93.15,93.01,93.01,2
0.235925926,100.8,101,100.8,100.9,90
0.236585648,91.38,91.49,91.36,91.46,12
0.236597222,89.18,89.8,89.18,89.6,114
0.236608796,92.09,92.15,91.97,92.11,4
0.23662037,101.5,102,101.5,101.8,1565
0.237280093,91.14,91.19,91.1,91.19,
0.237291667,95.47,95.57,95.35,95.35,20
0.237314815,101.4,101.4,100.7,100.7,2454
0.237986111,94.45,94.45,94.22,94.34,
0.237997685,93.9,94.21,93.9,94.21,
0.238009259,102.7,102.7,102.7,102.7,
0.238668981,92.92,92.92,92.89,92.89,
0.238680556,93.22,93.42,93.19,93.32,591
0.23869213,93.43,93.43,93.06,93.06,98
0.239363426,92.98,93.2,92.98,93.2,
0.239398148,105,105,104.8,104.8,50
0.240069444,92.47,92.7,92.31,92.47,160
0.240081019,96.02,96.54,96.02,96.54,102
0.240092593,109.2,109.4,109,109.1,47
0.274085648,85.49,86.08,85.49,86.08,71
0.274097222,94.89,94.89,94.42,94.58,10
0.274108796,92.33,92.6,92.33,92.46,2
0.274131944,110.9,110.9,110,110.1,74
0.274803241,93.15,93.3,93.06,93.3,7
0.274814815,99.3,99.37,99.3,99.37,
0.274826389,111.4,111.8,111.4,111.5,1247
0.275462963,87.36,87.36,85.99,85.99,70
0.275497685,92.28,92.56,92.28,92.35,2
0.275509259,99.06,99.06,98.96,98.96,
0.276168981,89.43,89.43,89.29,89.29,6
0.276180556,93.76,93.76,93.13,93.13,140
0.27619213,91.22,91.34,91.17,91.17,
0.276863426,88.97,88.97,88.7,88.7,117
0.276875,93.04,93.04,92.02,92.29,
0.276898148,100.9,100.9,100.8,100.8,
0.277569444,92.17,92.33,92.11,92.11,248
0.277581019,92.95,93.19,92.95,93.17,
0.277592593,100.8,100.9,100.8,100.9,
0.278252315,91.27,91.72,91.27,91.61,102
0.278263889,90.15,90.67,90.15,90.67,
0.278275463,91.9,91.91,91.32,91.32,11
0.278946759,91.34,91.68,91.34,91.68,
0.278981481,101.5,101.6,101.5,101.5,1612
0.279641204,91.64,91.76,91.64,91.74,10
