Dato,Åben,Højeste,Laveste,Slutkurs,Antal
04/03/2015,170.7,171.7,170.7,171.7,786
05/03/2015,172.1,173,172.1,172.8,2027
06/03/2015,172.8,174.5,172.8,173.7,1588
09/03/2015,172.6,173.5,172.2,173.5,8711
10/03/2015,174.2,174.2,173.3,173.5,210
11/03/2015,174,175.5,174,175.3,264
12/03/2015,174.6,176.2,174.6,176.2,5345
13/03/2015,176.7,177.4,176.2,176.6,7083
16/03/2015,177.4,177.9,177.2,177.5,1261
17/03/2015,176.4,177.2,176.4,177.2,5306
18/03/2015,176.9,177,176.3,176.3,59
19/03/2015,178.4,178.4,178,178,30
20/03/2015,178,178,176.6,176.6,3271
23/03/2015,175.5,175.5,174.9,175.2,917
24/03/2015,173.9,174.6,173.9,174.6,985
25/03/2015,173.2,173.5,171.3,171.3,5800
26/03/2015,168.9,171.1,168,171.1,7260
27/03/2015,172.2,172.2,171.3,171.3,16473
30/03/2015,173,174.7,173,174.7,135
31/03/2015,174.9,175.7,174.8,175.6,6785
01/04/2015,173.9,174.8,173.5,173.5,36089
02/04/2015,172.2,172.9,172.2,172.9,107
07/04/2015,174.2,174.8,174.2,174.8,25
08/04/2015,173.7,175,173.5,175,338
09/04/2015,175.7,176.8,175.5,176.8,10163
10/04/2015,178.9,180,178.9,180,2154
13/04/2015,180.2,181,180.2,180.6,5408
14/04/2015,179.7,179.7,177.5,178.2,16753
15/04/2015,179.2,180.5,179.2,179.9,1096
16/04/2015,177.6,178.5,177.6,178.2,10209
17/04/2015,177.7,177.7,175.5,175.5,1516
20/04/2015,176.6,177.5,176.6,177.5,96
21/04/2015,179.6,179.8,177.4,177.4,245
22/04/2015,176.6,177.9,176,177.9,802
23/04/2015,179.4,179.4,177.2,177.2,887
24/04/2015,177.6,177.6,176.9,177.1,741
27/04/2015,177.5,177.7,176.8,176.8,909
28/04/2015,174.7,174.7,174.7,174.7,
29/04/2015,172.8,173.1,171.2,171.3,2047
30/04/2015,171.8,171.8,169.3,170.2,779
04/05/2015,169.4,172.3,169.4,172.1,1373
05/05/2015,172.9,172.9,170,170,198
06/05/2015,168.3,169.4,166.9,167,3965
07/05/2015,165.9,168,165.3,168,15076
08/05/2015,169.4,171.1,169.3,171.1,9402
11/05/2015,171.8,172.3,171.8,172,2721
